# E0 =  0.4490     Rays from file a015-235.ray               13 May 99  22:02:11
# Counter data from files E-CTRS.DAT                 T-CTRS.DAT                 
# Energy from 0.19000 to 0.96000, step 0.00000, number 1.5400E+06       unif. k
# Angle  from  0.0000 to  0.0000, step 0.00000
#                                                             
#     Tctr      kmin kminfirst      kmax
         1   0.94465   0.95333   0.95333
         2   0.93489   0.94465   0.94560
         3   0.92267   0.93489   0.93559
         4   0.91386   0.92267   0.92347
         5   0.90535   0.91386   0.91496
         6   0.89593   0.90535   0.90623
         7   0.88797   0.89593   0.89720
         8   0.87914   0.88797   0.88885
         9   0.86961   0.87914   0.87982
        10   0.85986   0.86961   0.87103
        11   0.84958   0.85986   0.86076
        12   0.83860   0.84958   0.85077
        13   0.82724   0.83860   0.83940
        14   0.81662   0.82724   0.82806
        15   0.80921   0.81662   0.81803
        16   0.80207   0.80921   0.81107
        17   0.79380   0.80207   0.80298
        18   0.78558   0.79380   0.79497
        19   0.77649   0.78558   0.78609
        20   0.75741   0.77649   0.78609
        21   0.72940   0.75741   0.76034
        22   0.70269   0.72940   0.73226
        23   0.67797   0.70269   0.70573
        24   0.65385   0.67797   0.67982
        25   0.63062   0.65385   0.65649
        26   0.60728   0.63062   0.63339
        27   0.58804   0.60728   0.61014
        28   0.56856   0.58804   0.59062
        29   0.54917   0.56856   0.57114
        30   0.52994   0.54917   0.55180
        31   0.50992   0.52994   0.53207
        32   0.49485   0.50992   0.51278
        33   0.47907   0.49485   0.49720
        34   0.46339   0.47907   0.48170
        35   0.44774   0.46339   0.46624
        36   0.43431   0.44774   0.45065
        37   0.42045   0.43431   0.43694
        38   0.40916   0.42045   0.42340
        39   0.39714   0.40916   0.41147
        40   0.38519   0.39714   0.39960
        41   0.37329   0.38519   0.38777
        42   0.36164   0.37329   0.37618
        43   0.34958   0.36164   0.36418
        44   0.34017   0.34958   0.35239
        45   0.33049   0.34017   0.34275
        46   0.32079   0.33049   0.33311
        47   0.31071   0.32079   0.32307
        48   0.30065   0.31071   0.31306
        49   0.29090   0.30065   0.30337
        50   0.28438   0.29090   0.29340
        51   0.27626   0.28438   0.28530
        52   0.26851   0.27626   0.27756
        53   0.26058   0.26851   0.26964
        54   0.25260   0.26058   0.26169
        55   0.24462   0.25260   0.25373
        56   0.23686   0.24462   0.24599
        57   0.23105   0.23686   0.23817
        58   0.22524   0.23105   0.23237
        59   0.21921   0.22524   0.22635
        60   0.21341   0.21921   0.22055
        61   0.20678   0.21341   0.21445
# E0 =  4.1443     Rays from file a14-235.ray                13 May 99  22:12:51
# Counter data from files E-CTRS.DAT                 T-CTRS.DAT                 
# Energy from 0.19000 to 0.96000, step 0.00000, number 1.5400E+06       unif. k
# Angle  from  0.0000 to  0.0000, step 0.00000
#                                                             
#     Tctr      kmin kminfirst      kmax
         1   0.94476   0.95347   0.95347
         2   0.93500   0.94476   0.94570
         3   0.92276   0.93500   0.93569
         4   0.91396   0.92276   0.92355
         5   0.90543   0.91396   0.91505
         6   0.89601   0.90543   0.90631
         7   0.88804   0.89601   0.89726
         8   0.87920   0.88804   0.88891
         9   0.86965   0.87920   0.87986
        10   0.85989   0.86965   0.87106
        11   0.84960   0.85989   0.86077
        12   0.83860   0.84960   0.85077
        13   0.82724   0.83860   0.83938
        14   0.81661   0.82724   0.82804
        15   0.80918   0.81661   0.81800
        16   0.80203   0.80918   0.81103
        17   0.79374   0.80203   0.80293
        18   0.78552   0.79374   0.79490
        19   0.77641   0.78552   0.78600
        20   0.75731   0.77641   0.78600
        21   0.72926   0.75731   0.76019
        22   0.70247   0.72926   0.73207
        23   0.67770   0.70247   0.70548
        24   0.65349   0.67770   0.67950
        25   0.63017   0.65349   0.65609
        26   0.60675   0.63017   0.63290
        27   0.58745   0.60675   0.60957
        28   0.56791   0.58745   0.58999
        29   0.54848   0.56791   0.57046
        30   0.52922   0.54848   0.55108
        31   0.50917   0.52922   0.53131
        32   0.49407   0.50917   0.51200
        33   0.47825   0.49407   0.49638
        34   0.46251   0.47825   0.48085
        35   0.44681   0.46251   0.46534
        36   0.43333   0.44681   0.44969
        37   0.41945   0.43333   0.43593
        38   0.40815   0.41945   0.42237
        39   0.39613   0.40815   0.41044
        40   0.38419   0.39613   0.39857
        41   0.37230   0.38419   0.38674
        42   0.36064   0.37230   0.37515
        43   0.34857   0.36064   0.36315
        44   0.33915   0.34857   0.35136
        45   0.32946   0.33915   0.34171
        46   0.31976   0.32946   0.33206
        47   0.30966   0.31976   0.32201
        48   0.29959   0.30966   0.31198
        49   0.28986   0.29959   0.30229
        50   0.28335   0.28986   0.29233
        51   0.27524   0.28335   0.28425
        52   0.26748   0.27524   0.27652
        53   0.25952   0.26748   0.26859
        54   0.25153   0.25952   0.26061
        55   0.24353   0.25153   0.25263
        56   0.23577   0.24353   0.24488
        57   0.22997   0.23577   0.23707
        58   0.22417   0.22997   0.23127
        59   0.21815   0.22417   0.22526
        60   0.21236   0.21815   0.21947
        61   0.20575   0.21236   0.21338
# E0 =  5.1889     Rays from file a18-235.ray                13 May 99  22:16:46
# Counter data from files E-CTRS.DAT                 T-CTRS.DAT                 
# Energy from 0.19000 to 0.96000, step 0.00000, number 1.5400E+06       unif. k
# Angle  from  0.0000 to  0.0000, step 0.00000
#                                                             
#     Tctr      kmin kminfirst      kmax
         1   0.94519   0.95393   0.95393
         2   0.93529   0.94519   0.94613
         3   0.92297   0.93529   0.93596
         4   0.91409   0.92297   0.92374
         5   0.90552   0.91409   0.91516
         6   0.89603   0.90552   0.90637
         7   0.88799   0.89603   0.89726
         8   0.87908   0.88799   0.88884
         9   0.86948   0.87908   0.87971
        10   0.85965   0.86948   0.87084
        11   0.84927   0.85965   0.86049
        12   0.83815   0.84927   0.85040
        13   0.82668   0.83815   0.83888
        14   0.81594   0.82668   0.82743
        15   0.80844   0.81594   0.81729
        16   0.80123   0.80844   0.81025
        17   0.79286   0.80123   0.80208
        18   0.78456   0.79286   0.79397
        19   0.77537   0.78456   0.78499
        20   0.75616   0.77537   0.78499
        21   0.72784   0.75616   0.75888
        22   0.70080   0.72784   0.73048
        23   0.67578   0.70080   0.70363
        24   0.65135   0.67578   0.67741
        25   0.62782   0.65135   0.65378
        26   0.60418   0.62782   0.63039
        27   0.58471   0.60418   0.60685
        28   0.56502   0.58471   0.58710
        29   0.54543   0.56502   0.56742
        30   0.52601   0.54543   0.54788
        31   0.50578   0.52601   0.52795
        32   0.49054   0.50578   0.50849
        33   0.47461   0.49054   0.49274
        34   0.45877   0.47461   0.47708
        35   0.44296   0.45877   0.46147
        36   0.42939   0.44296   0.44573
        37   0.41542   0.42939   0.43188
        38   0.40406   0.41542   0.41825
        39   0.39199   0.40406   0.40624
        40   0.38000   0.39199   0.39432
        41   0.36806   0.38000   0.38245
        42   0.35635   0.36806   0.37082
        43   0.34423   0.35635   0.35876
        44   0.33476   0.34423   0.34692
        45   0.32504   0.33476   0.33724
        46   0.31531   0.32504   0.32755
        47   0.30519   0.31531   0.31747
        48   0.29510   0.30519   0.30743
        49   0.28534   0.29510   0.29772
        50   0.27879   0.28534   0.28774
        51   0.27066   0.27879   0.27963
        52   0.26289   0.27066   0.27188
        53   0.25494   0.26289   0.26394
        54   0.24694   0.25494   0.25596
        55   0.23895   0.24694   0.24799
        56   0.23120   0.23895   0.24024
        57   0.22539   0.23120   0.23244
        58   0.21961   0.22539   0.22665
        59   0.21360   0.21961   0.22065
        60   0.20782   0.21360   0.21487
        61   0.20124   0.20782   0.20879
# E0 =  5.5632     Rays from file a20-235.ray                13 May 99  22:20:54
# Counter data from files E-CTRS.DAT                 T-CTRS.DAT                 
# Energy from 0.19000 to 0.96000, step 0.00000, number 1.5400E+06       unif. k
# Angle  from  0.0000 to  0.0000, step 0.00000
#                                                             
#     Tctr      kmin kminfirst      kmax
         1   0.94531   0.95405   0.95405
         2   0.93535   0.94531   0.94626
         3   0.92300   0.93535   0.93604
         4   0.91409   0.92300   0.92377
         5   0.90547   0.91409   0.91515
         6   0.89594   0.90547   0.90631
         7   0.88786   0.89594   0.89717
         8   0.87890   0.88786   0.88870
         9   0.86923   0.87890   0.87952
        10   0.85933   0.86923   0.87059
        11   0.84888   0.85933   0.86016
        12   0.83769   0.84888   0.84999
        13   0.82613   0.83769   0.83839
        14   0.81531   0.82613   0.82685
        15   0.80776   0.81531   0.81664
        16   0.80049   0.80776   0.80956
        17   0.79205   0.80049   0.80132
        18   0.78369   0.79205   0.79314
        19   0.77443   0.78369   0.78408
        20   0.75510   0.77443   0.78408
        21   0.72655   0.75510   0.75774
        22   0.69928   0.72655   0.72910
        23   0.67405   0.69928   0.70203
        24   0.64943   0.67405   0.67558
        25   0.62572   0.64943   0.65177
        26   0.60187   0.62572   0.62818
        27   0.58222   0.60187   0.60444
        28   0.56239   0.58222   0.58453
        29   0.54265   0.56239   0.56469
        30   0.52310   0.54265   0.54500
        31   0.50275   0.52310   0.52495
        32   0.48740   0.50275   0.50537
        33   0.47136   0.48740   0.48951
        34   0.45541   0.47136   0.47375
        35   0.43950   0.45541   0.45803
        36   0.42584   0.43950   0.44219
        37   0.41179   0.42584   0.42825
        38   0.40036   0.41179   0.41455
        39   0.38821   0.40036   0.40248
        40   0.37615   0.38821   0.39048
        41   0.36415   0.37615   0.37853
        42   0.35241   0.36415   0.36684
        43   0.34025   0.35241   0.35475
        44   0.33075   0.34025   0.34288
        45   0.32099   0.33075   0.33317
        46   0.31124   0.32099   0.32344
        47   0.30109   0.31124   0.31334
        48   0.29098   0.30109   0.30327
        49   0.28120   0.29098   0.29354
        50   0.27464   0.28120   0.28355
        51   0.26650   0.27464   0.27543
        52   0.25873   0.26650   0.26767
        53   0.25077   0.25873   0.25973
        54   0.24279   0.25077   0.25175
        55   0.23482   0.24279   0.24378
        56   0.22708   0.23482   0.23605
        57   0.22130   0.22708   0.22827
        58   0.21554   0.22130   0.22251
        59   0.20957   0.21554   0.21654
        60   0.20382   0.20957   0.21080
        61   0.19727   0.20382   0.20475
# E0 =  5.8674     Rays from file a22-235.ray                13 May 99  22:32:13
# Counter data from files E-CTRS.DAT                 T-CTRS.DAT                 
# Energy from 0.19000 to 0.96000, step 0.00000, number 1.5400E+06       unif. k
# Angle  from  0.0000 to  0.0000, step 0.00000
#                                                             
#     Tctr      kmin kminfirst      kmax
         1   0.94534   0.95413   0.95413
         2   0.93530   0.94534   0.94629
         3   0.92287   0.93530   0.93599
         4   0.91391   0.92287   0.92364
         5   0.90524   0.91391   0.91497
         6   0.89565   0.90524   0.90608
         7   0.88754   0.89565   0.89688
         8   0.87854   0.88754   0.88837
         9   0.86882   0.87854   0.87915
        10   0.85888   0.86882   0.87017
        11   0.84838   0.85888   0.85969
        12   0.83713   0.84838   0.84948
        13   0.82550   0.83713   0.83782
        14   0.81462   0.82550   0.82621
        15   0.80703   0.81462   0.81593
        16   0.79973   0.80703   0.80881
        17   0.79126   0.79973   0.80054
        18   0.78285   0.79126   0.79233
        19   0.77354   0.78285   0.78323
        20   0.75413   0.77354   0.78323
        21   0.72543   0.75413   0.75672
        22   0.69801   0.72543   0.72792
        23   0.67266   0.69801   0.70069
        24   0.64790   0.67266   0.67412
        25   0.62408   0.64790   0.65018
        26   0.60016   0.62408   0.62648
        27   0.58043   0.60016   0.60267
        28   0.56050   0.58043   0.58268
        29   0.54067   0.56050   0.56274
        30   0.52104   0.54067   0.54297
        31   0.50060   0.52104   0.52282
        32   0.48518   0.50060   0.50316
        33   0.46907   0.48518   0.48725
        34   0.45306   0.46907   0.47142
        35   0.43710   0.45306   0.45563
        36   0.42341   0.43710   0.43974
        37   0.40933   0.42341   0.42578
        38   0.39786   0.40933   0.41204
        39   0.38568   0.39786   0.39994
        40   0.37358   0.38568   0.38791
        41   0.36153   0.37358   0.37593
        42   0.34973   0.36153   0.36419
        43   0.33752   0.34973   0.35203
        44   0.32798   0.33752   0.34011
        45   0.31819   0.32798   0.33036
        46   0.30841   0.31819   0.32061
        47   0.29824   0.30841   0.31048
        48   0.28811   0.29824   0.30039
        49   0.27832   0.28811   0.29063
        50   0.27175   0.27832   0.28063
