
JLAB fadc pedestal measurement on host adcecal6
----------------------------
Opening CRCSR Window (opened at [0xb6f69000,0xb7f69000])
Opening A32 Window (opened at [0xb6f59000,0xb6f69000])
Opening A32Blt Window (opened at [0xacf59000,0xb6f59000])
Opening A24 Window (opened at [0xabf59000,0xacf59000])
Opening A16 Window (opened at [0xabf49000,0xabf59000])
jlabgefMapTsi: Tempe Chip Userspace map successful
VME Bus Error IRQ Disabled
vmeBusCreateLockShm: vmeBus shared memory mutex initialized
Initialized FADC  0  Slot #  3 at address 0xac0d9000 (0x00180000) 
Initialized FADC  1  Slot #  4 at address 0xac159000 (0x00200000) 
Initialized FADC  2  Slot #  5 at address 0xac1d9000 (0x00280000) 
Initialized FADC  3  Slot #  6 at address 0xac259000 (0x00300000) 
Initialized FADC  4  Slot #  7 at address 0xac2d9000 (0x00380000) 
Initialized FADC  5  Slot #  8 at address 0xac359000 (0x00400000) 
Initialized FADC  6  Slot #  9 at address 0xac3d9000 (0x00480000) 
Initialized FADC  7  Slot # 10 at address 0xac459000 (0x00500000) 
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x580000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x600000
Initialized FADC  8  Slot # 13 at address 0xac5d9000 (0x00680000) 
Initialized FADC  9  Slot # 14 at address 0xac659000 (0x00700000) 
Initialized FADC 10  Slot # 15 at address 0xac6d9000 (0x00780000) 
Initialized FADC 11  Slot # 16 at address 0xac759000 (0x00800000) 
Initialized FADC 12  Slot # 17 at address 0xac7d9000 (0x00880000) 
Initialized FADC 13  Slot # 18 at address 0xac859000 (0x00900000) 
Initialized FADC 14  Slot # 19 at address 0xac8d9000 (0x00980000) 
Initialized FADC 15  Slot # 20 at address 0xac959000 (0x00a00000) 
faInit: Enabling FADC Internal Clock, and VXS Triggers (VXS Sync Reset)
faInit: 16 FADC(s) successfully initialized
fadc250Config: nfadc=16
fadc250InitGlobals reached

NOTE: use EXPID=>clasdev< from environment

ReadConfigFile: Using configuration file >/usr/clas12/release/1.3.2/parms/fadc250/adcecal6.cnf<

ReadConfigFile: crate = all  host = adcecal6 - activated

ReadConfigFile: crate = end  host = adcecal6 - disactivated


fadc250DownloadAll reached, nfadc=16
faMeasureChannelPedestal: slot 3, chan 0 => avg 110.696, rms  1.167, min 107, max 115
faMeasureChannelPedestal: slot 3, chan 1 => avg 132.012, rms  1.260, min 128, max 137
faMeasureChannelPedestal: slot 3, chan 2 => avg 117.724, rms  1.257, min 113, max 122
faMeasureChannelPedestal: slot 3, chan 3 => avg 138.078, rms  1.575, min 134, max 198
faMeasureChannelPedestal: slot 3, chan 4 => avg 129.297, rms  1.358, min 125, max 134
faMeasureChannelPedestal: slot 3, chan 5 => avg 195.821, rms  1.296, min 191, max 200
faMeasureChannelPedestal: slot 3, chan 6 => avg 140.544, rms  1.280, min 136, max 145
faMeasureChannelPedestal: slot 3, chan 7 => avg 111.117, rms  1.352, min 106, max 116
faMeasureChannelPedestal: slot 3, chan 8 => avg 84.073, rms  1.268, min 80, max 88
faMeasureChannelPedestal: slot 3, chan 9 => avg 124.017, rms  1.257, min 120, max 128
faMeasureChannelPedestal: slot 3, chan 10 => avg 132.575, rms  1.324, min 128, max 138
faMeasureChannelPedestal: slot 3, chan 11 => avg 130.096, rms  1.219, min 126, max 135
faMeasureChannelPedestal: slot 3, chan 12 => avg 158.826, rms  1.171, min 154, max 163
faMeasureChannelPedestal: slot 3, chan 13 => avg 135.276, rms  1.203, min 131, max 140
faMeasureChannelPedestal: slot 3, chan 14 => avg 146.929, rms  1.327, min 141, max 152
faMeasureChannelPedestal: slot 3, chan 15 => avg 167.565, rms  1.256, min 162, max 172
faMeasureChannelPedestal: slot 4, chan 0 => avg 148.863, rms  1.200, min 145, max 153
faMeasureChannelPedestal: slot 4, chan 1 => avg 149.281, rms  1.769, min 145, max 223
faMeasureChannelPedestal: slot 4, chan 2 => avg 106.384, rms  1.217, min 102, max 111
faMeasureChannelPedestal: slot 4, chan 3 => avg 123.725, rms  1.158, min 120, max 128
faMeasureChannelPedestal: slot 4, chan 4 => avg 140.000, rms  1.438, min 135, max 145
faMeasureChannelPedestal: slot 4, chan 5 => avg 99.168, rms  1.170, min 95, max 103
faMeasureChannelPedestal: slot 4, chan 6 => avg 102.793, rms  1.233, min 99, max 107
faMeasureChannelPedestal: slot 4, chan 7 => avg 123.212, rms  1.353, min 118, max 128
faMeasureChannelPedestal: slot 4, chan 8 => avg 136.456, rms  1.328, min 131, max 148
faMeasureChannelPedestal: slot 4, chan 9 => avg 113.863, rms  1.191, min 109, max 118
faMeasureChannelPedestal: slot 4, chan 10 => avg 124.711, rms  1.192, min 120, max 129
faMeasureChannelPedestal: slot 4, chan 11 => avg 133.071, rms  1.197, min 129, max 137
faMeasureChannelPedestal: slot 4, chan 12 => avg 123.604, rms  1.196, min 119, max 128
faMeasureChannelPedestal: slot 4, chan 13 => avg 127.205, rms  1.306, min 123, max 132
faMeasureChannelPedestal: slot 4, chan 14 => avg 105.331, rms  1.172, min 101, max 110
faMeasureChannelPedestal: slot 4, chan 15 => avg 116.522, rms  1.201, min 112, max 121
faMeasureChannelPedestal: slot 5, chan 0 => avg 115.761, rms  1.235, min 111, max 120
faMeasureChannelPedestal: slot 5, chan 1 => avg 119.254, rms  1.292, min 115, max 129
faMeasureChannelPedestal: slot 5, chan 2 => avg 104.177, rms  1.259, min 100, max 109
faMeasureChannelPedestal: slot 5, chan 3 => avg 123.732, rms  1.806, min 120, max 167
faMeasureChannelPedestal: slot 5, chan 4 => avg 157.702, rms  1.466, min 153, max 162
faMeasureChannelPedestal: slot 5, chan 5 => avg 110.184, rms  1.449, min 105, max 115
faMeasureChannelPedestal: slot 5, chan 6 => avg 139.867, rms  1.363, min 134, max 144
faMeasureChannelPedestal: slot 5, chan 7 => avg 69.375, rms  1.393, min 65, max 74
faMeasureChannelPedestal: slot 5, chan 8 => avg 135.270, rms  1.375, min 131, max 140
faMeasureChannelPedestal: slot 5, chan 9 => avg 119.440, rms  1.420, min 115, max 124
faMeasureChannelPedestal: slot 5, chan 10 => avg 101.895, rms  1.340, min 97, max 107
faMeasureChannelPedestal: slot 5, chan 11 => avg 106.980, rms  1.195, min 103, max 111
faMeasureChannelPedestal: slot 5, chan 12 => avg 126.228, rms  1.267, min 121, max 131
faMeasureChannelPedestal: slot 5, chan 13 => avg 135.927, rms  1.438, min 131, max 141
faMeasureChannelPedestal: slot 5, chan 14 => avg 122.417, rms  1.214, min 118, max 126
faMeasureChannelPedestal: slot 5, chan 15 => avg 128.345, rms  1.217, min 124, max 133
faMeasureChannelPedestal: slot 6, chan 0 => avg 103.556, rms  1.249, min 100, max 108
faMeasureChannelPedestal: slot 6, chan 1 => avg 58.984, rms  1.173, min 53, max 64
faMeasureChannelPedestal: slot 6, chan 2 => avg 72.398, rms  1.372, min 68, max 99
faMeasureChannelPedestal: slot 6, chan 3 => avg 115.239, rms  1.199, min 110, max 119
faMeasureChannelPedestal: slot 6, chan 4 => avg 94.141, rms  1.456, min 89, max 100
faMeasureChannelPedestal: slot 6, chan 5 => avg 119.292, rms  1.292, min 115, max 125
faMeasureChannelPedestal: slot 6, chan 6 => avg 110.374, rms  1.317, min 105, max 116
faMeasureChannelPedestal: slot 6, chan 7 => avg 112.170, rms  1.337, min 107, max 117
faMeasureChannelPedestal: slot 6, chan 8 => avg 114.373, rms  1.395, min 110, max 119
faMeasureChannelPedestal: slot 6, chan 9 => avg 86.287, rms  1.302, min 82, max 91
faMeasureChannelPedestal: slot 6, chan 10 => avg 69.942, rms  1.268, min 66, max 75
faMeasureChannelPedestal: slot 6, chan 11 => avg 80.178, rms  1.334, min 75, max 85
faMeasureChannelPedestal: slot 6, chan 12 => avg 98.856, rms  1.214, min 94, max 103
faMeasureChannelPedestal: slot 6, chan 13 => avg 99.479, rms  1.190, min 95, max 103
faMeasureChannelPedestal: slot 6, chan 14 => avg 99.809, rms  1.219, min 95, max 105
faMeasureChannelPedestal: slot 6, chan 15 => avg 94.218, rms  1.226, min 89, max 99
faMeasureChannelPedestal: slot 7, chan 0 => avg 88.117, rms  1.279, min 84, max 93
faMeasureChannelPedestal: slot 7, chan 1 => avg 118.304, rms  1.284, min 114, max 123
faMeasureChannelPedestal: slot 7, chan 2 => avg 72.438, rms  1.129, min 69, max 77
faMeasureChannelPedestal: slot 7, chan 3 => avg 93.681, rms  1.176, min 90, max 98
faMeasureChannelPedestal: slot 7, chan 4 => avg 85.419, rms  1.319, min 81, max 90
faMeasureChannelPedestal: slot 7, chan 5 => avg 121.737, rms  1.233, min 118, max 126
faMeasureChannelPedestal: slot 7, chan 6 => avg 104.038, rms  1.307, min 100, max 109
faMeasureChannelPedestal: slot 7, chan 7 => avg 69.462, rms  1.408, min 65, max 75
faMeasureChannelPedestal: slot 7, chan 8 => avg 119.593, rms  1.263, min 115, max 124
faMeasureChannelPedestal: slot 7, chan 9 => avg 149.429, rms  1.432, min 144, max 155
faMeasureChannelPedestal: slot 7, chan 10 => avg 90.029, rms  1.372, min 85, max 95
faMeasureChannelPedestal: slot 7, chan 11 => avg 89.136, rms  1.145, min 85, max 93
faMeasureChannelPedestal: slot 7, chan 12 => avg 89.179, rms  1.247, min 85, max 93
faMeasureChannelPedestal: slot 7, chan 13 => avg 122.265, rms  1.182, min 118, max 126
faMeasureChannelPedestal: slot 7, chan 14 => avg 81.058, rms  1.156, min 77, max 85
faMeasureChannelPedestal: slot 7, chan 15 => avg 100.947, rms  1.174, min 97, max 106
faMeasureChannelPedestal: slot 8, chan 0 => avg 119.051, rms  1.256, min 114, max 124
faMeasureChannelPedestal: slot 8, chan 1 => avg 91.408, rms  1.265, min 87, max 96
faMeasureChannelPedestal: slot 8, chan 2 => avg 132.624, rms  1.406, min 128, max 137
faMeasureChannelPedestal: slot 8, chan 3 => avg 84.988, rms  1.212, min 80, max 90
faMeasureChannelPedestal: slot 8, chan 4 => avg 107.995, rms  1.286, min 103, max 113
faMeasureChannelPedestal: slot 8, chan 5 => avg 108.560, rms  1.353, min 104, max 113
faMeasureChannelPedestal: slot 8, chan 6 => avg 113.518, rms  1.276, min 109, max 118
