
JLAB fadc pedestal measurement on host adcecal5
----------------------------
Opening CRCSR Window (opened at [0xb6f1d000,0xb7f1d000])
Opening A32 Window (opened at [0xb6f0d000,0xb6f1d000])
Opening A32Blt Window (opened at [0xacf0d000,0xb6f0d000])
Opening A24 Window (opened at [0xabf0d000,0xacf0d000])
Opening A16 Window (opened at [0xabefd000,0xabf0d000])
jlabgefMapTsi: Tempe Chip Userspace map successful
VME Bus Error IRQ Disabled
vmeBusCreateLockShm: vmeBus shared memory mutex initialized
Initialized FADC  0  Slot #  3 at address 0xac08d000 (0x00180000) 
Initialized FADC  1  Slot #  4 at address 0xac10d000 (0x00200000) 
Initialized FADC  2  Slot #  5 at address 0xac18d000 (0x00280000) 
Initialized FADC  3  Slot #  6 at address 0xac20d000 (0x00300000) 
Initialized FADC  4  Slot #  7 at address 0xac28d000 (0x00380000) 
Initialized FADC  5  Slot #  8 at address 0xac30d000 (0x00400000) 
Initialized FADC  6  Slot #  9 at address 0xac38d000 (0x00480000) 
Initialized FADC  7  Slot # 10 at address 0xac40d000 (0x00500000) 
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x580000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x600000
Initialized FADC  8  Slot # 13 at address 0xac58d000 (0x00680000) 
Initialized FADC  9  Slot # 14 at address 0xac60d000 (0x00700000) 
Initialized FADC 10  Slot # 15 at address 0xac68d000 (0x00780000) 
Initialized FADC 11  Slot # 16 at address 0xac70d000 (0x00800000) 
Initialized FADC 12  Slot # 17 at address 0xac78d000 (0x00880000) 
Initialized FADC 13  Slot # 18 at address 0xac80d000 (0x00900000) 
Initialized FADC 14  Slot # 19 at address 0xac88d000 (0x00980000) 
Initialized FADC 15  Slot # 20 at address 0xac90d000 (0x00a00000) 
faInit: Enabling FADC Internal Clock, and VXS Triggers (VXS Sync Reset)
faInit: 16 FADC(s) successfully initialized
fadc250Config: nfadc=16
fadc250InitGlobals reached

NOTE: use EXPID=>clasdev< from environment

ReadConfigFile: Using configuration file >/usr/clas12/release/1.3.2/parms/fadc250/adcecal5.cnf<

ReadConfigFile: crate = all  host = adcecal5 - activated

ReadConfigFile: crate = end  host = adcecal5 - disactivated


fadc250DownloadAll reached, nfadc=16
faMeasureChannelPedestal: slot 3, chan 0 => avg 123.331, rms  1.147, min 119, max 128
faMeasureChannelPedestal: slot 3, chan 1 => avg 110.959, rms  1.240, min 107, max 115
faMeasureChannelPedestal: slot 3, chan 2 => avg 134.656, rms  1.215, min 131, max 139
faMeasureChannelPedestal: slot 3, chan 3 => avg 125.893, rms  1.227, min 121, max 130
faMeasureChannelPedestal: slot 3, chan 4 => avg 137.658, rms  1.446, min 133, max 142
faMeasureChannelPedestal: slot 3, chan 5 => avg 141.275, rms  1.324, min 136, max 146
faMeasureChannelPedestal: slot 3, chan 6 => avg 122.875, rms  1.317, min 119, max 128
faMeasureChannelPedestal: slot 3, chan 7 => avg 83.905, rms  1.308, min 80, max 89
faMeasureChannelPedestal: slot 3, chan 8 => avg 91.413, rms  1.258, min 87, max 96
faMeasureChannelPedestal: slot 3, chan 9 => avg 112.175, rms  1.294, min 108, max 117
faMeasureChannelPedestal: slot 3, chan 10 => avg 107.808, rms  1.210, min 103, max 112
faMeasureChannelPedestal: slot 3, chan 11 => avg 135.239, rms  1.193, min 131, max 139
faMeasureChannelPedestal: slot 3, chan 12 => avg 95.478, rms  1.213, min 90, max 100
faMeasureChannelPedestal: slot 3, chan 13 => avg 117.260, rms  1.263, min 113, max 123
faMeasureChannelPedestal: slot 3, chan 14 => avg 89.297, rms  1.186, min 85, max 94
faMeasureChannelPedestal: slot 3, chan 15 => avg 139.549, rms  1.387, min 135, max 156
faMeasureChannelPedestal: slot 4, chan 0 => avg 151.746, rms  1.261, min 147, max 156
faMeasureChannelPedestal: slot 4, chan 1 => avg 123.789, rms  1.378, min 119, max 129
faMeasureChannelPedestal: slot 4, chan 2 => avg 113.246, rms  1.272, min 109, max 118
faMeasureChannelPedestal: slot 4, chan 3 => avg 96.484, rms  1.195, min 92, max 100
faMeasureChannelPedestal: slot 4, chan 4 => avg 111.551, rms  1.484, min 106, max 117
faMeasureChannelPedestal: slot 4, chan 5 => avg 105.311, rms  1.538, min 100, max 112
faMeasureChannelPedestal: slot 4, chan 6 => avg 117.305, rms  1.335, min 113, max 122
faMeasureChannelPedestal: slot 4, chan 7 => avg 95.229, rms  1.343, min 91, max 101
faMeasureChannelPedestal: slot 4, chan 8 => avg 103.441, rms  1.236, min 100, max 108
faMeasureChannelPedestal: slot 4, chan 9 => avg 130.297, rms  1.454, min 126, max 135
faMeasureChannelPedestal: slot 4, chan 10 => avg 125.082, rms  1.383, min 120, max 131
faMeasureChannelPedestal: slot 4, chan 11 => avg 114.232, rms  1.267, min 109, max 119
faMeasureChannelPedestal: slot 4, chan 12 => avg 123.295, rms  1.212, min 119, max 127
faMeasureChannelPedestal: slot 4, chan 13 => avg 100.980, rms  1.145, min 97, max 106
faMeasureChannelPedestal: slot 4, chan 14 => avg 152.820, rms  1.294, min 148, max 158
faMeasureChannelPedestal: slot 4, chan 15 => avg 135.910, rms  1.181, min 131, max 140
faMeasureChannelPedestal: slot 5, chan 0 => avg 127.421, rms  1.172, min 123, max 132
faMeasureChannelPedestal: slot 5, chan 1 => avg 131.117, rms  1.320, min 126, max 136
faMeasureChannelPedestal: slot 5, chan 2 => avg 80.978, rms  1.240, min 77, max 86
faMeasureChannelPedestal: slot 5, chan 3 => avg 114.123, rms  1.192, min 110, max 118
faMeasureChannelPedestal: slot 5, chan 4 => avg 103.639, rms  1.423, min 99, max 109
faMeasureChannelPedestal: slot 5, chan 5 => avg 97.312, rms  1.252, min 93, max 102
faMeasureChannelPedestal: slot 5, chan 6 => avg 139.538, rms  1.256, min 135, max 144
faMeasureChannelPedestal: slot 5, chan 7 => avg 133.197, rms  1.386, min 128, max 138
faMeasureChannelPedestal: slot 5, chan 8 => avg 146.904, rms  1.299, min 143, max 152
faMeasureChannelPedestal: slot 5, chan 9 => avg 136.297, rms  1.349, min 131, max 140
faMeasureChannelPedestal: slot 5, chan 10 => avg 100.841, rms  1.273, min 96, max 105
faMeasureChannelPedestal: slot 5, chan 11 => avg 132.200, rms  1.218, min 128, max 137
faMeasureChannelPedestal: slot 5, chan 12 => avg 128.674, rms  1.360, min 123, max 133
faMeasureChannelPedestal: slot 5, chan 13 => avg 104.350, rms  1.172, min 100, max 109
faMeasureChannelPedestal: slot 5, chan 14 => avg 116.140, rms  1.204, min 112, max 120
faMeasureChannelPedestal: slot 5, chan 15 => avg 133.855, rms  1.144, min 130, max 137
faMeasureChannelPedestal: slot 6, chan 0 => avg 99.637, rms  1.245, min 95, max 104
faMeasureChannelPedestal: slot 6, chan 1 => avg 102.623, rms  1.339, min 98, max 107
faMeasureChannelPedestal: slot 6, chan 2 => avg 116.203, rms  1.170, min 112, max 121
faMeasureChannelPedestal: slot 6, chan 3 => avg 107.344, rms  1.117, min 103, max 111
faMeasureChannelPedestal: slot 6, chan 4 => avg 100.472, rms  1.177, min 96, max 105
faMeasureChannelPedestal: slot 6, chan 5 => avg 97.223, rms  1.237, min 93, max 102
faMeasureChannelPedestal: slot 6, chan 6 => avg 150.628, rms  1.274, min 146, max 155
faMeasureChannelPedestal: slot 6, chan 7 => avg 115.365, rms  1.256, min 111, max 120
faMeasureChannelPedestal: slot 6, chan 8 => avg 109.179, rms  1.182, min 105, max 114
faMeasureChannelPedestal: slot 6, chan 9 => avg 99.841, rms  1.318, min 95, max 104
faMeasureChannelPedestal: slot 6, chan 10 => avg 114.760, rms  1.194, min 111, max 119
faMeasureChannelPedestal: slot 6, chan 11 => avg 93.804, rms  1.179, min 89, max 97
faMeasureChannelPedestal: slot 6, chan 12 => avg 97.951, rms  1.227, min 94, max 102
faMeasureChannelPedestal: slot 6, chan 13 => avg 81.991, rms  1.164, min 78, max 86
faMeasureChannelPedestal: slot 6, chan 14 => avg 100.796, rms  1.155, min 97, max 104
faMeasureChannelPedestal: slot 6, chan 15 => avg 84.465, rms  1.148, min 80, max 89
faMeasureChannelPedestal: slot 7, chan 0 => avg 122.476, rms  1.312, min 119, max 127
faMeasureChannelPedestal: slot 7, chan 1 => avg 120.650, rms  1.239, min 116, max 125
faMeasureChannelPedestal: slot 7, chan 2 => avg 113.990, rms  1.376, min 110, max 119
faMeasureChannelPedestal: slot 7, chan 3 => avg 100.612, rms  1.203, min 96, max 106
faMeasureChannelPedestal: slot 7, chan 4 => avg 95.007, rms  1.282, min 91, max 100
faMeasureChannelPedestal: slot 7, chan 5 => avg 144.993, rms  1.382, min 139, max 150
faMeasureChannelPedestal: slot 7, chan 6 => avg 129.988, rms  1.359, min 125, max 135
faMeasureChannelPedestal: slot 7, chan 7 => avg 83.861, rms  1.357, min 79, max 88
faMeasureChannelPedestal: slot 7, chan 8 => avg 125.224, rms  1.300, min 121, max 130
faMeasureChannelPedestal: slot 7, chan 9 => avg 112.299, rms  1.269, min 108, max 117
faMeasureChannelPedestal: slot 7, chan 10 => avg 109.208, rms  1.340, min 104, max 114
faMeasureChannelPedestal: slot 7, chan 11 => avg 124.724, rms  1.199, min 120, max 129
faMeasureChannelPedestal: slot 7, chan 12 => avg 126.392, rms  1.407, min 121, max 131
faMeasureChannelPedestal: slot 7, chan 13 => avg 72.078, rms  1.153, min 68, max 76
faMeasureChannelPedestal: slot 7, chan 14 => avg 112.614, rms  1.258, min 109, max 116
faMeasureChannelPedestal: slot 7, chan 15 => avg 78.317, rms  1.201, min 74, max 83
faMeasureChannelPedestal: slot 8, chan 0 => avg 142.577, rms  1.407, min 138, max 147
faMeasureChannelPedestal: slot 8, chan 1 => avg 126.202, rms  1.292, min 122, max 131
faMeasureChannelPedestal: slot 8, chan 2 => avg 131.840, rms  1.231, min 127, max 136
faMeasureChannelPedestal: slot 8, chan 3 => avg 118.196, rms  1.301, min 114, max 123
faMeasureChannelPedestal: slot 8, chan 4 => avg 154.212, rms  1.444, min 149, max 159
faMeasureChannelPedestal: slot 8, chan 5 => avg 119.011, rms  1.488, min 114, max 124
faMeasureChannelPedestal: slot 8, chan 6 => avg 130.547, rms  1.358, min 126, max 135
faMeasureChannelPedestal: slot 8, chan 7 => avg 124.914, rms  1.351, min 121, max 130
faMeasureChannelPedestal: slot 8, chan 8 => avg 120.573, rms  1.324, min 116, max 125
