
JLAB fadc pedestal measurement on host adcpcal3
----------------------------
Opening CRCSR Window (opened at [0xb6f3f000,0xb7f3f000])
Opening A32 Window (opened at [0xb6f2f000,0xb6f3f000])
Opening A32Blt Window (opened at [0xacf2f000,0xb6f2f000])
Opening A24 Window (opened at [0xabf2f000,0xacf2f000])
Opening A16 Window (opened at [0xabf1f000,0xabf2f000])
jlabgefMapTsi: Tempe Chip Userspace map successful
VME Bus Error IRQ Disabled
vmeBusCreateLockShm: vmeBus shared memory mutex initialized
Initialized FADC  0  Slot #  3 at address 0xac0af000 (0x00180000) 
Initialized FADC  1  Slot #  4 at address 0xac12f000 (0x00200000) 
Initialized FADC  2  Slot #  5 at address 0xac1af000 (0x00280000) 
Initialized FADC  3  Slot #  6 at address 0xac22f000 (0x00300000) 
Initialized FADC  4  Slot #  7 at address 0xac2af000 (0x00380000) 
Initialized FADC  5  Slot #  8 at address 0xac32f000 (0x00400000) 
Initialized FADC  6  Slot #  9 at address 0xac3af000 (0x00480000) 
Initialized FADC  7  Slot # 10 at address 0xac42f000 (0x00500000) 
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x580000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x600000
Initialized FADC  8  Slot # 13 at address 0xac5af000 (0x00680000) 
Initialized FADC  9  Slot # 14 at address 0xac62f000 (0x00700000) 
Initialized FADC 10  Slot # 15 at address 0xac6af000 (0x00780000) 
Initialized FADC 11  Slot # 16 at address 0xac72f000 (0x00800000) 
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x880000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x900000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x980000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0xa00000
faInit: Enabling FADC Internal Clock, and VXS Triggers (VXS Sync Reset)
faInit: 12 FADC(s) successfully initialized
fadc250Config: nfadc=12
fadc250InitGlobals reached

NOTE: use EXPID=>clasdev< from environment

ReadConfigFile: Using configuration file >/usr/clas12/release/1.3.0/parms/fadc250/adcpcal3.cnf<

ReadConfigFile: crate = all  host = adcpcal3 - activated

ReadConfigFile: crate = end  host = adcpcal3 - disactivated


fadc250DownloadAll reached, nfadc=12
faMeasureChannelPedestal: slot 3, chan 0 => avg 114.092, rms  1.263, min 110, max 118
faMeasureChannelPedestal: slot 3, chan 1 => avg 113.796, rms  1.221, min 110, max 118
faMeasureChannelPedestal: slot 3, chan 2 => avg 92.967, rms  1.180, min 89, max 97
faMeasureChannelPedestal: slot 3, chan 3 => avg 106.997, rms  1.146, min 103, max 111
faMeasureChannelPedestal: slot 3, chan 4 => avg 125.011, rms  1.266, min 121, max 129
faMeasureChannelPedestal: slot 3, chan 5 => avg 104.043, rms  1.249, min 100, max 108
faMeasureChannelPedestal: slot 3, chan 6 => avg 117.225, rms  1.245, min 112, max 122
faMeasureChannelPedestal: slot 3, chan 7 => avg 149.317, rms  1.430, min 144, max 154
faMeasureChannelPedestal: slot 3, chan 8 => avg 135.847, rms  1.307, min 130, max 141
faMeasureChannelPedestal: slot 3, chan 9 => avg 133.413, rms  1.331, min 129, max 139
faMeasureChannelPedestal: slot 3, chan 10 => avg 78.413, rms  1.276, min 74, max 83
faMeasureChannelPedestal: slot 3, chan 11 => avg 87.028, rms  1.154, min 82, max 91
faMeasureChannelPedestal: slot 3, chan 12 => avg 108.887, rms  1.233, min 104, max 113
faMeasureChannelPedestal: slot 3, chan 13 => avg 117.573, rms  1.178, min 113, max 122
faMeasureChannelPedestal: slot 3, chan 14 => avg 112.044, rms  1.188, min 108, max 116
faMeasureChannelPedestal: slot 3, chan 15 => avg 95.357, rms  1.224, min 91, max 99
faMeasureChannelPedestal: slot 4, chan 0 => avg 148.098, rms  1.253, min 144, max 152
faMeasureChannelPedestal: slot 4, chan 1 => avg 82.730, rms  1.185, min 78, max 87
faMeasureChannelPedestal: slot 4, chan 2 => avg 135.868, rms  1.282, min 131, max 140
faMeasureChannelPedestal: slot 4, chan 3 => avg 138.820, rms  1.343, min 134, max 144
faMeasureChannelPedestal: slot 4, chan 4 => avg 128.971, rms  1.586, min 123, max 135
faMeasureChannelPedestal: slot 4, chan 5 => avg 128.474, rms  1.415, min 123, max 133
faMeasureChannelPedestal: slot 4, chan 6 => avg 163.908, rms  1.278, min 158, max 168
faMeasureChannelPedestal: slot 4, chan 7 => avg 117.844, rms  1.448, min 113, max 123
faMeasureChannelPedestal: slot 4, chan 8 => avg 102.722, rms  1.303, min 98, max 108
faMeasureChannelPedestal: slot 4, chan 9 => avg 118.386, rms  1.291, min 114, max 125
faMeasureChannelPedestal: slot 4, chan 10 => avg 138.813, rms  1.310, min 134, max 143
