ecal_channel_id pedestal noise
  1 108.622   5.949
  2  86.459   5.882
  3 107.733   5.775
  4 106.950   5.271
  5 126.344   5.306
  6  54.803   5.308
  7 135.860   5.266
  8 115.645   5.962
  9 144.074   5.300
 10 104.867   6.242
 11 133.716   5.483
 12  92.969   5.452
 13  94.633   5.258
 14 132.793   5.097
 15 112.573   5.116
 16 136.614   5.611
 17 121.736   5.373
 18 133.153   5.495
 19 150.552   5.396
 20 187.666   5.556
 21 112.373   4.670
 22 113.819   4.933
 23 142.738   5.368
 24 130.601   5.576
 25 105.110   5.306
 26 108.219   5.579
 27 113.355   4.625
 28 128.892   4.984
 29  93.502   5.110
 30 127.869   5.351
 31 106.876   4.421
 32 128.372   5.217
 33 107.737   5.217
 34 126.355   5.677
 35 125.591   5.237
 36 128.444   4.643
 37 103.411   5.137
 38 100.791   5.707
 39 133.222   4.787
 40  95.765   4.354
 41 129.533   4.800
 42 103.596   4.841
 43  90.894   4.486
 44 106.341   5.830
 45 139.204   5.314
 46 115.122   4.547
 47  98.770   5.552
 48 105.521   5.749
 49  92.516   5.560
 50 132.399   5.197
 51 135.590   5.121
 52 129.598   5.092
 53 162.447   5.299
 54 130.744   4.873
 55  91.056   5.486
 56  69.970   5.141
 57  85.644   5.291
 58 141.242   5.272
 59 116.744   5.262
 60  87.218   5.154
 61 112.717   7.239
 62 118.264   5.490
 63 144.244   5.944
 64 105.369   5.463
 65 144.797   6.557
 66 107.299   6.251
 67 113.645   6.602
 68 123.884   5.669
 69 169.329   6.668
 70 101.997   5.486
 71 126.140   5.249
 72 139.381   5.149
 73 108.747   4.918
 74 115.568   5.454
 75 115.709   5.065
 76 124.754   5.007
 77 116.348   4.826
 78 109.104   4.741
 79 127.578   5.214
 80 124.441   5.054
 81  86.864   4.964
 82 149.917   4.637
 83 130.566   4.714
 84 125.185   5.065
 85 111.750   5.212
 86 144.622   4.865
 87  62.783   5.159
 88  66.150   4.543
 89  83.870   4.997
 90 130.962   5.273
 91 138.944   5.018
 92  97.915   5.074
 93 102.750   5.767
 94 117.096   5.628
 95 111.502   5.510
 96 123.177   5.134
 97 127.725   5.623
 98 129.325   5.224
 99  87.764   5.263
100 131.125   5.264
101 141.754   5.233
102  96.514   4.970
103 118.267   5.152
104 120.445   5.370
105 105.795   5.349
106 109.292   5.317
107  83.335   5.973
108 144.134   5.666
109 131.124   6.038
110 164.866   6.156
111 150.856   7.194
112 149.772   6.251
113 123.141   5.818
114  94.148   5.861
115 114.697   6.182
116  96.408   5.429
117  85.430   5.739
118 131.740   5.464
119 141.245   5.671
120 156.505   4.987
121 120.208   4.885
122  98.824   5.326
123 113.804   4.829
124 113.548   5.248
125 126.939   4.477
126 101.359   5.068
127 141.498   5.323
128 156.611   4.959
129 121.250   4.846
130 112.159   5.442
131 127.252   5.524
132  88.389   5.492
133 104.623   5.748
134 157.337   4.963
135  96.933   5.143
136  93.624   4.447
137 132.094   4.869
138 100.372   6.704
139  83.583   5.655
140  81.783   5.456
141 134.367   5.304
142 141.950   5.244
143 145.057   5.219
144 110.812   5.492
145 136.301   5.342
146 129.304   5.355
147 124.486   5.354
148  92.427   5.332
149 121.420   5.295
150 127.836   4.967
151 108.323   5.346
152  80.664   5.595
153 158.355   6.452
154 112.906   6.323
155 110.062   7.219
156 112.587   8.054
157 140.714   9.096
158 105.529   9.071
159 130.835   7.877
160 129.067   6.419
161 116.196   5.908
162 138.724   5.510
163 121.996   5.754
164 120.376   5.337
165 126.214   5.044
166 136.596   4.928
167 125.869   5.145
168 134.814   5.058
169 102.084   5.214
170 147.616   5.155
171 131.119   5.044
172 113.246   5.115
173 131.234   5.095
174 162.101   4.954
175  88.444   5.134
176 144.940   5.200
177  97.231   6.012
178 122.226   5.060
179  63.125   5.338
180  78.030   5.484
181 103.400   5.476
182 139.212   4.755
183  99.425   5.015
184  58.177   5.164
185 125.872   6.304
186 127.885   6.339
187 120.587   5.642
188 121.308   5.399
189  92.855   5.807
190 137.572   5.751
191 115.351   5.941
192 107.646   5.584
193 103.000   5.815
194  99.771   5.644
195 121.899   5.940
196  93.850   5.796
197 128.031   5.907
198 102.551   6.383
199  97.019   6.526
200 127.106   6.589
201 128.587   6.014
202  51.933   5.369
203 139.332   5.376
204 109.512   5.150
205 142.953   5.267
206 122.991   5.325
207 144.249   4.994
208 139.678   5.047
209 137.258   5.722
210 108.939   5.071
211 166.785   4.963
212 113.120   5.264
213  87.868   5.465
214 117.982   5.334
215  90.119   5.134
216  95.398   5.522
217 116.914   5.695
218 119.166   5.285
219 136.099   5.106
220 123.172   5.599
221 124.729   6.046
222 116.233   5.549
223 114.333   5.759
224 101.285   5.484
225 119.678   5.493
226  94.858   5.747
227 157.552   5.134
228 140.403   5.237
229 141.454   5.515
230 141.920   5.495
231 116.912   5.530
232 115.934   5.949
233 130.424   5.927
234 116.094   5.612
235 102.687   7.167
236 139.703   6.553
237 172.608   6.276
238 123.575   5.409
239  95.954   5.336
240 113.819   4.955
241  86.814   5.094
242 117.374   4.972
243 111.778   4.720
244 131.611   5.004
245 110.875   5.018
246  94.874   4.699
247  92.045   4.597
248 121.408   5.288
249 104.686   4.977
250 127.239   4.902
251 126.453   4.835
252 148.589   4.854
253 125.742   4.731
254 107.798   5.050
255 155.270   4.806
256 114.950   5.021
257  88.599   5.508
258 140.735   4.925
259 115.968   5.231
260  94.332   5.240
261 144.373   5.234
262 112.433   5.096
263 143.438   5.156
264 119.287   5.097
265 182.085   5.045
266 143.691   5.190
267 128.746   5.142
268 115.324   5.082
269 111.685   5.254
270 115.099   5.311
271 142.237   5.073
272 124.110   5.401
273 106.158   6.406
274 109.697   5.848
275 103.002   5.852
276 110.191   9.171
277 108.365  10.833
278  95.431   8.990
279 104.921  14.485
280 158.969   6.149
281 125.684   6.816
282 166.473   5.455
283 146.904   5.769
284 106.578   5.307
285 124.206   4.986
286  79.006   5.014
287 123.029   5.193
288 127.166   4.694
289 120.195   4.667
290 116.291   4.389
291 110.244   4.951
292 153.090   4.863
293 121.923   4.550
294 111.523   4.983
295 117.981   4.816
296 129.462   4.522
297 126.481   5.013
298 124.645   4.926
299 146.271   4.955
300 173.681   5.201
301 139.223   4.841
302 147.963   5.044
303 157.645   4.859
304 112.236   5.600
305  91.934   5.371
306 114.271   5.315
307 115.747   5.193
308  99.692   5.266
309  91.494   5.082
310 138.815   5.062
311 140.228   5.062
312 105.650   5.249
313 116.768   4.944
314 109.242   5.143
315 128.858   5.181
316 106.077   5.286
317  90.539   5.404
318  99.899   5.390
319 123.539   6.007
320 114.499   5.328
321 119.253   5.945
322 114.970   6.080
323 125.587   6.947
324 130.810   5.996
325 151.183   5.711
326 152.119   5.229
327 142.218   5.710
328 153.086   5.095
329 118.091   5.228
330 115.525   5.521
331 183.991   4.943
332 106.013   5.070
333 135.297   4.980
334  91.785   4.900
335 138.638   4.257
336 149.272   5.049
337 127.440   5.354
338 105.619   4.742
339 163.665   6.053
340 144.176   5.356
341 119.707   5.371
342 101.352   5.422
343 113.891   4.793
344  99.704   4.532
345 130.000   4.539
346 163.017   5.028
347 116.493   5.087
348 137.083   4.843
349 101.778   4.500
350  92.497   5.280
351  88.001   5.090
352 115.668   5.542
353 114.471   5.310
354 129.841   5.030
355  89.146   5.229
356 144.345   4.943
357 117.869   4.909
358 103.442   5.530
359 144.519   5.103
360 161.982   4.817
361 118.248   5.257
362 114.249   5.193
363 100.495   5.210
364 154.634   4.696
365 108.619   5.527
366  95.904   5.484
367 160.559   5.349
368 123.351   5.622
369 121.638   5.850
370  94.116   5.484
371  93.195   6.070
372 122.638  12.317
373 127.782   6.259
374 151.816   5.146
375 134.833   5.245
376 119.327   4.820
377 160.415   4.949
378  92.659   4.839
379  86.748   5.296
380 100.240   4.919
381 126.228   4.667
382 134.619   5.172
383 136.697   5.052
384 125.711   5.227
385 121.908   4.604
386 119.372   5.061
387  97.709   4.793
388 142.480   4.824
389 110.048   4.917
390  79.990   4.745
391 149.778   5.281
392 139.044   5.412
393 134.458   4.907
394 119.371   4.535
395 134.973   4.472
396 134.831   5.316
397 127.579   4.725
398  75.055   5.371
399 125.073   4.894
400 143.627   5.175
401  97.076   4.926
402 102.717   5.614
403 129.708   5.203
404 109.925   5.128
405 140.685   5.398
406 122.245   4.942
407 117.725   5.241
408 126.123   5.224
409 117.889   5.183
410 118.457   5.484
411 103.568   4.899
412  95.125   6.615
413  80.175   5.420
414  86.433   6.911
415 122.810   6.771
416  88.770  10.118
417 130.613   5.413
418 142.583   6.234
419 114.210   6.076
420 117.170   5.502
421 138.827   5.294
422 112.973   4.900
423 157.000   5.409
424  81.905   6.951
425 153.299   5.313
426 107.542   4.994
427 145.586   5.081
428 121.552   5.112
429 149.591   5.024
430 179.134   5.560
