###
### Translation table for tdcecal1
### 
###
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_TDC      1       1     1     0       510    0      1      6     V1190       0
ECAL_TDC      1       1     2     0       510    0      1      6     V1190       1
ECAL_TDC      1       1     3     0       510    0      1      6     V1190       2
ECAL_TDC      1       1     4     0       510    0      1      6     V1190       3
ECAL_TDC      1       1     5     0       510    0      1      6     V1190       4
ECAL_TDC      1       1     6     0       510    0      1      6     V1190       5
ECAL_TDC      1       1     7     0       510    0      1      6     V1190       6
ECAL_TDC      1       1     8     0       510    0      1      6     V1190       7
ECAL_TDC      1       1     9     0       510    0      1      6     V1190       8
ECAL_TDC      1       1    10     0       510    0      1      6     V1190       9
ECAL_TDC      1       1    11     0       510    0      1      6     V1190      10
ECAL_TDC      1       1    12     0       510    0      1      6     V1190      11
ECAL_TDC      1       1    13     0       510    0      1      6     V1190      12
ECAL_TDC      1       1    14     0       510    0      1      6     V1190      13
ECAL_TDC      1       1    15     0       510    0      1      6     V1190      14
ECAL_TDC      1       1    16     0       510    0      1      6     V1190      15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_TDC      1       1    17     0       510    0      1      6     V1190      16
ECAL_TDC      1       1    18     0       510    0      1      6     V1190      17
ECAL_TDC      1       1    19     0       510    0      1      6     V1190      18
ECAL_TDC      1       1    20     0       510    0      1      6     V1190      19
ECAL_TDC      1       1    21     0       510    0      1      6     V1190      20
ECAL_TDC      1       1    22     0       510    0      1      6     V1190      21
ECAL_TDC      1       1    23     0       510    0      1      6     V1190      22
ECAL_TDC      1       1    24     0       510    0      1      6     V1190      23
ECAL_TDC      1       1    25     0       510    0      1      6     V1190      24
ECAL_TDC      1       1    26     0       510    0      1      6     V1190      25
ECAL_TDC      1       1    27     0       510    0      1      6     V1190      26
ECAL_TDC      1       1    28     0       510    0      1      6     V1190      27
ECAL_TDC      1       1    29     0       510    0      1      6     V1190      28
ECAL_TDC      1       1    30     0       510    0      1      6     V1190      29
ECAL_TDC      1       1    31     0       510    0      1      6     V1190      30
ECAL_TDC      1       1    32     0       510    0      1      6     V1190      31
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_TDC      1       1    33     0       510    0      1      6     V1190      32
ECAL_TDC      1       1    34     0       510    0      1      6     V1190      33
ECAL_TDC      1       1    35     0       510    0      1      6     V1190      34
ECAL_TDC      1       1    36     0       510    0      1      6     V1190      35
ECAL_TDC      1       2     1     0       510    0      1      6     V1190      36
ECAL_TDC      1       2     2     0       510    0      1      6     V1190      37
ECAL_TDC      1       2     3     0       510    0      1      6     V1190      38
ECAL_TDC      1       2     4     0       510    0      1      6     V1190      39
ECAL_TDC      1       2     5     0       510    0      1      6     V1190      40
ECAL_TDC      1       2     6     0       510    0      1      6     V1190      41
ECAL_TDC      1       2     7     0       510    0      1      6     V1190      42
ECAL_TDC      1       2     8     0       510    0      1      6     V1190      43
ECAL_TDC      1       2     9     0       510    0      1      6     V1190      44
ECAL_TDC      1       2    10     0       510    0      1      6     V1190      45
ECAL_TDC      1       2    11     0       510    0      1      6     V1190      46
ECAL_TDC      1       2    12     0       510    0      1      6     V1190      47
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_TDC      1       2    13     0       510    0      1      6     V1190      48
ECAL_TDC      1       2    14     0       510    0      1      6     V1190      49
ECAL_TDC      1       2    15     0       510    0      1      6     V1190      50
ECAL_TDC      1       2    16     0       510    0      1      6     V1190      51
ECAL_TDC      1       2    17     0       510    0      1      6     V1190      52
ECAL_TDC      1       2    18     0       510    0      1      6     V1190      53
ECAL_TDC      1       2    19     0       510    0      1      6     V1190      54
ECAL_TDC      1       2    20     0       510    0      1      6     V1190      55
ECAL_TDC      1       2    21     0       510    0      1      6     V1190      56
ECAL_TDC      1       2    22     0       510    0      1      6     V1190      57
ECAL_TDC      1       2    23     0       510    0      1      6     V1190      58
ECAL_TDC      1       2    24     0       510    0      1      6     V1190      59
ECAL_TDC      1       2    25     0       510    0      1      6     V1190      60
ECAL_TDC      1       2    26     0       510    0      1      6     V1190      61
ECAL_TDC      1       2    27     0       510    0      1      6     V1190      62
ECAL_TDC      1       2    28     0       510    0      1      6     V1190      63
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_TDC      1       2    29     0       510    0      1      6     V1190      64
ECAL_TDC      1       2    30     0       510    0      1      6     V1190      65
ECAL_TDC      1       2    31     0       510    0      1      6     V1190      66
ECAL_TDC      1       2    32     0       510    0      1      6     V1190      67
ECAL_TDC      1       2    33     0       510    0      1      6     V1190      68
ECAL_TDC      1       2    34     0       510    0      1      6     V1190      69
ECAL_TDC      1       2    35     0       510    0      1      6     V1190      70
ECAL_TDC      1       2    36     0       510    0      1      6     V1190      71
ECAL_TDC      1       3     1     0       510    0      1      6     V1190      72
ECAL_TDC      1       3     2     0       510    0      1      6     V1190      73
ECAL_TDC      1       3     3     0       510    0      1      6     V1190      74
ECAL_TDC      1       3     4     0       510    0      1      6     V1190      75
ECAL_TDC      1       3     5     0       510    0      1      6     V1190      76
ECAL_TDC      1       3     6     0       510    0      1      6     V1190      77
ECAL_TDC      1       3     7     0       510    0      1      6     V1190      78
ECAL_TDC      1       3     8     0       510    0      1      6     V1190      79
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_TDC      1       3     9     0       510    0      1      6     V1190      80
ECAL_TDC      1       3    10     0       510    0      1      6     V1190      81
ECAL_TDC      1       3    11     0       510    0      1      6     V1190      82
