###
### Translation table for adcecal1
### 
###
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       1     1     1       510    0      1      3    FADC250      0
ECAL_ADC      1       1     2     1       510    0      1      3    FADC250      1
ECAL_ADC      1       1     3     1       510    0      1      3    FADC250      2
ECAL_ADC      1       1     4     1       510    0      1      3    FADC250      3
ECAL_ADC      1       1     5     1       510    0      1      3    FADC250      4
ECAL_ADC      1       1     6     1       510    0      1      3    FADC250      5
ECAL_ADC      1       1     7     1       510    0      1      3    FADC250      6
ECAL_ADC      1       1     8     1       510    0      1      3    FADC250      7
ECAL_ADC      1       1     9     1       510    0      1      3    FADC250      8
ECAL_ADC      1       1    10     1       510    0      1      3    FADC250      9
ECAL_ADC      1       1    11     1       510    0      1      3    FADC250     10
ECAL_ADC      1       1    12     1       510    0      1      3    FADC250     11
ECAL_ADC      1       1    13     1       510    0      1      3    FADC250     12
ECAL_ADC      1       1    14     1       510    0      1      3    FADC250     13
ECAL_ADC      1       1    15     1       510    0      1      3    FADC250     14
ECAL_ADC      1       1    16     1       510    0      1      3    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       1    17     1       510    0      1      4    FADC250      0
ECAL_ADC      1       1    18     1       510    0      1      4    FADC250      1
ECAL_ADC      1       1    19     1       510    0      1      4    FADC250      2
ECAL_ADC      1       1    20     1       510    0      1      4    FADC250      3
ECAL_ADC      1       1    21     1       510    0      1      4    FADC250      4
ECAL_ADC      1       1    22     1       510    0      1      4    FADC250      5
ECAL_ADC      1       1    23     1       510    0      1      4    FADC250      6
ECAL_ADC      1       1    24     1       510    0      1      4    FADC250      7
ECAL_ADC      1       1    25     1       510    0      1      4    FADC250      8
ECAL_ADC      1       1    26     1       510    0      1      4    FADC250      9
ECAL_ADC      1       1    27     1       510    0      1      4    FADC250     10
ECAL_ADC      1       1    28     1       510    0      1      4    FADC250     11
ECAL_ADC      1       1    29     1       510    0      1      4    FADC250     12
ECAL_ADC      1       1    30     1       510    0      1      4    FADC250     13
ECAL_ADC      1       1    31     1       510    0      1      4    FADC250     14
ECAL_ADC      1       1    32     1       510    0      1      4    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       1    33     1       510    0      1      5    FADC250      0
ECAL_ADC      1       1    34     1       510    0      1      5    FADC250      1
ECAL_ADC      1       1    35     1       510    0      1      5    FADC250      2
ECAL_ADC      1       1    36     1       510    0      1      5    FADC250      3
ECAL_ADC      1       2     1     1       510    0      1      5    FADC250      4
ECAL_ADC      1       2     2     1       510    0      1      5    FADC250      5
ECAL_ADC      1       2     3     1       510    0      1      5    FADC250      6
ECAL_ADC      1       2     4     1       510    0      1      5    FADC250      7
ECAL_ADC      1       2     5     1       510    0      1      5    FADC250      8
ECAL_ADC      1       2     6     1       510    0      1      5    FADC250      9
ECAL_ADC      1       2     7     1       510    0      1      5    FADC250     10
ECAL_ADC      1       2     8     1       510    0      1      5    FADC250     11
ECAL_ADC      1       2     9     1       510    0      1      5    FADC250     12
ECAL_ADC      1       2    10     1       510    0      1      5    FADC250     13
ECAL_ADC      1       2    11     1       510    0      1      5    FADC250     14
ECAL_ADC      1       2    12     1       510    0      1      5    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       2    13     1       510    0      1      6    FADC250      0
ECAL_ADC      1       2    14     1       510    0      1      6    FADC250      1
ECAL_ADC      1       2    15     1       510    0      1      6    FADC250      2
ECAL_ADC      1       2    16     1       510    0      1      6    FADC250      3
ECAL_ADC      1       2    17     1       510    0      1      6    FADC250      4
ECAL_ADC      1       2    18     1       510    0      1      6    FADC250      5
ECAL_ADC      1       2    19     1       510    0      1      6    FADC250      6
ECAL_ADC      1       2    20     1       510    0      1      6    FADC250      7
ECAL_ADC      1       2    21     1       510    0      1      6    FADC250      8
ECAL_ADC      1       2    22     1       510    0      1      6    FADC250      9
ECAL_ADC      1       2    23     1       510    0      1      6    FADC250     10
ECAL_ADC      1       2    24     1       510    0      1      6    FADC250     11
ECAL_ADC      1       2    25     1       510    0      1      6    FADC250     12
ECAL_ADC      1       2    26     1       510    0      1      6    FADC250     13
ECAL_ADC      1       2    27     1       510    0      1      6    FADC250     14
ECAL_ADC      1       2    28     1       510    0      1      6    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       2    29     1       510    0      1      7    FADC250      0
ECAL_ADC      1       2    30     1       510    0      1      7    FADC250      1
ECAL_ADC      1       2    31     1       510    0      1      7    FADC250      2
ECAL_ADC      1       2    32     1       510    0      1      7    FADC250      3
ECAL_ADC      1       2    33     1       510    0      1      7    FADC250      4
ECAL_ADC      1       2    34     1       510    0      1      7    FADC250      5
ECAL_ADC      1       2    35     1       510    0      1      7    FADC250      6
ECAL_ADC      1       2    36     1       510    0      1      7    FADC250      7
ECAL_ADC      1       3     1     1       510    0      1      7    FADC250      8
ECAL_ADC      1       3     2     1       510    0      1      7    FADC250      9
ECAL_ADC      1       3     3     1       510    0      1      7    FADC250     10
ECAL_ADC      1       3     4     1       510    0      1      7    FADC250     11
ECAL_ADC      1       3     5     1       510    0      1      7    FADC250     12
ECAL_ADC      1       3     6     1       510    0      1      7    FADC250     13
ECAL_ADC      1       3     7     1       510    0      1      7    FADC250     14
ECAL_ADC      1       3     8     1       510    0      1      7    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       3     9     1       510    0      1      8    FADC250      0
ECAL_ADC      1       3    10     1       510    0      1      8    FADC250      1
ECAL_ADC      1       3    11     1       510    0      1      8    FADC250      2
ECAL_ADC      1       3    12     1       510    0      1      8    FADC250      3
ECAL_ADC      1       3    13     1       510    0      1      8    FADC250      4
ECAL_ADC      1       3    14     1       510    0      1      8    FADC250      5
ECAL_ADC      1       3    15     1       510    0      1      8    FADC250      6
ECAL_ADC      1       3    16     1       510    0      1      8    FADC250      7
ECAL_ADC      1       3    17     1       510    0      1      8    FADC250      8
ECAL_ADC      1       3    18     1       510    0      1      8    FADC250      9
ECAL_ADC      1       3    19     1       510    0      1      8    FADC250     10
ECAL_ADC      1       3    20     1       510    0      1      8    FADC250     11
ECAL_ADC      1       3    21     1       510    0      1      8    FADC250     12
ECAL_ADC      1       3    22     1       510    0      1      8    FADC250     13
ECAL_ADC      1       3    23     1       510    0      1      8    FADC250     14
ECAL_ADC      1       3    24     1       510    0      1      8    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       3    25     1       510    0      1      9    FADC250      0
ECAL_ADC      1       3    26     1       510    0      1      9    FADC250      1
ECAL_ADC      1       3    27     1       510    0      1      9    FADC250      2
ECAL_ADC      1       3    28     1       510    0      1      9    FADC250      3
ECAL_ADC      1       3    29     1       510    0      1      9    FADC250      4
ECAL_ADC      1       3    30     1       510    0      1      9    FADC250      5
ECAL_ADC      1       3    31     1       510    0      1      9    FADC250      6
ECAL_ADC      1       3    32     1       510    0      1      9    FADC250      7
ECAL_ADC      1       3    33     1       510    0      1      9    FADC250      8
ECAL_ADC      1       3    34     1       510    0      1      9    FADC250      9
ECAL_ADC      1       3    35     1       510    0      1      9    FADC250     10
ECAL_ADC      1       3    36     1       510    0      1      9    FADC250     11
#
#
#
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       4     1     1       510    0      1     10    FADC250      0
ECAL_ADC      1       4     2     1       510    0      1     10    FADC250      1
ECAL_ADC      1       4     3     1       510    0      1     10    FADC250      2
ECAL_ADC      1       4     4     1       510    0      1     10    FADC250      3
ECAL_ADC      1       4     5     1       510    0      1     10    FADC250      4
ECAL_ADC      1       4     6     1       510    0      1     10    FADC250      5
ECAL_ADC      1       4     7     1       510    0      1     10    FADC250      6
ECAL_ADC      1       4     8     1       510    0      1     10    FADC250      7
ECAL_ADC      1       4     9     1       510    0      1     10    FADC250      8
ECAL_ADC      1       4     0     1       510    0      1     10    FADC250      9
ECAL_ADC      1       4    11     1       510    0      1     10    FADC250     10
ECAL_ADC      1       4    12     1       510    0      1     10    FADC250     11
ECAL_ADC      1       4    13     1       510    0      1     10    FADC250     12
ECAL_ADC      1       4    14     1       510    0      1     10    FADC250     13
ECAL_ADC      1       4    15     1       510    0      1     10    FADC250     14
ECAL_ADC      1       4    16     1       510    0      1     10    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       4    17     1       510    0      1     13    FADC250      0
ECAL_ADC      1       4    18     1       510    0      1     13    FADC250      1
ECAL_ADC      1       4    19     1       510    0      1     13    FADC250      2
ECAL_ADC      1       4    20     1       510    0      1     13    FADC250      3
ECAL_ADC      1       4    21     1       510    0      1     13    FADC250      4
ECAL_ADC      1       4    22     1       510    0      1     13    FADC250      5
ECAL_ADC      1       4    23     1       510    0      1     13    FADC250      6
ECAL_ADC      1       4    24     1       510    0      1     13    FADC250      7
ECAL_ADC      1       4    25     1       510    0      1     13    FADC250      8
ECAL_ADC      1       4    26     1       510    0      1     13    FADC250      9
ECAL_ADC      1       4    27     1       510    0      1     13    FADC250     10
ECAL_ADC      1       4    28     1       510    0      1     13    FADC250     11
ECAL_ADC      1       4    29     1       510    0      1     13    FADC250     12
ECAL_ADC      1       4    30     1       510    0      1     13    FADC250     13
ECAL_ADC      1       4    31     1       510    0      1     13    FADC250     14
ECAL_ADC      1       4    32     1       510    0      1     13    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       4    33     1       510    0      1     14    FADC250      0
ECAL_ADC      1       4    34     1       510    0      1     14    FADC250      1
ECAL_ADC      1       4    35     1       510    0      1     14    FADC250      2
ECAL_ADC      1       4    36     1       510    0      1     14    FADC250      3
ECAL_ADC      1       5     1     1       510    0      1     14    FADC250      4
ECAL_ADC      1       5     2     1       510    0      1     14    FADC250      5
ECAL_ADC      1       5     3     1       510    0      1     14    FADC250      6
ECAL_ADC      1       5     4     1       510    0      1     14    FADC250      7
ECAL_ADC      1       5     5     1       510    0      1     14    FADC250      8
ECAL_ADC      1       5     6     1       510    0      1     14    FADC250      9
ECAL_ADC      1       5     7     1       510    0      1     14    FADC250     10
ECAL_ADC      1       5     8     1       510    0      1     14    FADC250     11
ECAL_ADC      1       5     9     1       510    0      1     14    FADC250     12
ECAL_ADC      1       5    10     1       510    0      1     14    FADC250     13
ECAL_ADC      1       5    11     1       510    0      1     14    FADC250     14
ECAL_ADC      1       5    12     1       510    0      1     14    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       5    13     1       510    0      1     15    FADC250      0
ECAL_ADC      1       5    14     1       510    0      1     15    FADC250      1
ECAL_ADC      1       5    15     1       510    0      1     15    FADC250      2
ECAL_ADC      1       5    16     1       510    0      1     15    FADC250      3
ECAL_ADC      1       5    17     1       510    0      1     15    FADC250      4
ECAL_ADC      1       5    18     1       510    0      1     15    FADC250      5
ECAL_ADC      1       5    19     1       510    0      1     15    FADC250      6
ECAL_ADC      1       5    20     1       510    0      1     15    FADC250      7
ECAL_ADC      1       5    21     1       510    0      1     15    FADC250      8
ECAL_ADC      1       5    22     1       510    0      1     15    FADC250      9
ECAL_ADC      1       5    23     1       510    0      1     15    FADC250     10
ECAL_ADC      1       5    24     1       510    0      1     15    FADC250     11
ECAL_ADC      1       5    25     1       510    0      1     15    FADC250     12
ECAL_ADC      1       5    26     1       510    0      1     15    FADC250     13
ECAL_ADC      1       5    27     1       510    0      1     15    FADC250     14
ECAL_ADC      1       5    28     1       510    0      1     15    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       5    29     1       510    0      1     16    FADC250      0
ECAL_ADC      1       5    30     1       510    0      1     16    FADC250      1
ECAL_ADC      1       5    31     1       510    0      1     16    FADC250      2
ECAL_ADC      1       5    32     1       510    0      1     16    FADC250      3
ECAL_ADC      1       5    33     1       510    0      1     16    FADC250      4
ECAL_ADC      1       5    34     1       510    0      1     16    FADC250      5
ECAL_ADC      1       5    35     1       510    0      1     16    FADC250      6
ECAL_ADC      1       5    36     1       510    0      1     16    FADC250      7
ECAL_ADC      1       6     1     1       510    0      1     16    FADC250      8
ECAL_ADC      1       6     2     1       510    0      1     16    FADC250      9
ECAL_ADC      1       6     3     1       510    0      1     16    FADC250     10
ECAL_ADC      1       6     4     1       510    0      1     16    FADC250     11
ECAL_ADC      1       6     5     1       510    0      1     16    FADC250     12
ECAL_ADC      1       6     6     1       510    0      1     16    FADC250     13
ECAL_ADC      1       6     7     1       510    0      1     16    FADC250     14
ECAL_ADC      1       6     8     1       510    0      1     16    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       6     9     1       510    0      1     17    FADC250      0
ECAL_ADC      1       6    10     1       510    0      1     17    FADC250      1
ECAL_ADC      1       6    11     1       510    0      1     17    FADC250      2
ECAL_ADC      1       6    12     1       510    0      1     17    FADC250      3
ECAL_ADC      1       6    13     1       510    0      1     17    FADC250      4
ECAL_ADC      1       6    14     1       510    0      1     17    FADC250      5
ECAL_ADC      1       6    15     1       510    0      1     17    FADC250      6
ECAL_ADC      1       6    16     1       510    0      1     17    FADC250      7
ECAL_ADC      1       6    17     1       510    0      1     17    FADC250      8
ECAL_ADC      1       6    18     1       510    0      1     17    FADC250      9
ECAL_ADC      1       6    19     1       510    0      1     17    FADC250     10
ECAL_ADC      1       6    20     1       510    0      1     17    FADC250     11
ECAL_ADC      1       6    21     1       510    0      1     17    FADC250     12
ECAL_ADC      1       6    22     1       510    0      1     17    FADC250     13
ECAL_ADC      1       6    23     1       510    0      1     17    FADC250     14
ECAL_ADC      1       6    24     1       510    0      1     17    FADC250     15
#bank      sector#  sd1#  sd2#  ind#     tag#  bank#  roc#  slot#  board_type  channel#
ECAL_ADC      1       6    25     1       510    0      1     18    FADC250      0
ECAL_ADC      1       6    26     1       510    0      1     18    FADC250      1
ECAL_ADC      1       6    27     1       510    0      1     18    FADC250      2
ECAL_ADC      1       6    28     1       510    0      1     18    FADC250      3
ECAL_ADC      1       6    29     1       510    0      1     18    FADC250      4
ECAL_ADC      1       6    30     1       510    0      1     18    FADC250      5
ECAL_ADC      1       6    31     1       510    0      1     18    FADC250      6
ECAL_ADC      1       6    32     1       510    0      1     18    FADC250      7
ECAL_ADC      1       6    33     1       510    0      1     18    FADC250      8
ECAL_ADC      1       6    34     1       510    0      1     18    FADC250      9
ECAL_ADC      1       6    35     1       510    0      1     18    FADC250     10
ECAL_ADC      1       6    36     1       510    0      1     18    FADC250     11
