        13        26        34     0.939     0.474     0.717
        13        26        35     0.950     0.467     0.707
        13        27        33     0.912     0.474     0.740
        13        27        34     0.923     0.467     0.730
        13        28        32     0.886     0.474     0.764
        13        28        33     0.896     0.467     0.754
        13        29        31     0.860     0.474     0.789
        13        29        32     0.870     0.467     0.779
        13        30        30     0.836     0.474     0.815
        13        30        31     0.845     0.467     0.804
        13        31        29     0.811     0.474     0.842
        13        31        30     0.820     0.467     0.831
        13        32        28     0.785     0.474     0.873
        13        32        29     0.797     0.467     0.858
        13        33        27     0.762     0.474     0.901
        13        33        28     0.774     0.467     0.886
        13        34        26     0.740     0.474     0.931
        13        34        27     0.751     0.467     0.915
        13        35        25     0.719     0.474     0.961
        13        35        26     0.729     0.467     0.945
        13        36        24     0.698     0.474     0.991
        13        36        25     0.708     0.467     0.976
        14        23        36     0.991     0.489     0.653
        14        24        35     0.967     0.489     0.672
        14        24        36     0.978     0.482     0.663
        14        25        34     0.939     0.490     0.694
        14        25        35     0.950     0.482     0.685
        14        26        33     0.912     0.490     0.717
        14        26        34     0.923     0.482     0.707
        14        27        32     0.886     0.490     0.740
        14        27        33     0.896     0.482     0.730
        14        28        31     0.860     0.490     0.764
        14        28        32     0.870     0.482     0.754
        14        29        30     0.836     0.490     0.789
        14        29        31     0.845     0.482     0.779
        14        30        29     0.811     0.490     0.815
        14        30        30     0.820     0.482     0.804
        14        31        28     0.785     0.490     0.845
        14        31        29     0.797     0.482     0.831
        14        32        27     0.762     0.490     0.873
        14        32        28     0.774     0.482     0.858
        14        33        26     0.740     0.490     0.901
        14        33        27     0.751     0.482     0.886
        14        34        25     0.719     0.490     0.931
        14        34        26     0.729     0.482     0.915
        14        35        24     0.698     0.490     0.961
        14        35        25     0.708     0.482     0.945
        14        36        23     0.678     0.490     0.991
        14        36        24     0.688     0.482     0.976
        15        22        36     0.991     0.505     0.633
        15        23        35     0.967     0.505     0.651
        15        23        36     0.978     0.498     0.642
        15        24        34     0.940     0.506     0.672
        15        24        35     0.950     0.498     0.663
        15        25        33     0.912     0.506     0.694
        15        25        34     0.923     0.498     0.685
        15        26        32     0.886     0.506     0.717
        15        26        33     0.896     0.498     0.707
        15        27        31     0.860     0.506     0.740
        15        27        32     0.870     0.498     0.730
        15        28        30     0.836     0.506     0.764
        15        28        31     0.845     0.498     0.754
        15        29        29     0.808     0.505     0.792
        15        29        30     0.820     0.498     0.779
        15        30        28     0.785     0.506     0.818
        15        30        29     0.797     0.498     0.805
        15        31        27     0.762     0.506     0.845
        15        31        28     0.774     0.498     0.831
        15        32        26     0.740     0.506     0.873
        15        32        27     0.751     0.498     0.858
        15        33        25     0.719     0.506     0.901
        15        33        26     0.729     0.498     0.886
        15        34        24     0.698     0.506     0.931
        15        34        25     0.708     0.498     0.915
        15        35        23     0.678     0.506     0.961
        15        35        24     0.688     0.498     0.945
        15        36        22     0.658     0.506     0.991
        15        36        23     0.668     0.498     0.976
        16        21        36     0.991     0.522     0.613
        16        22        35     0.967     0.522     0.630
        16        22        36     0.978     0.514     0.622
        16        23        34     0.940     0.522     0.651
        16        23        35     0.950     0.514     0.642
        16        24        33     0.912     0.522     0.672
        16        24        34     0.923     0.514     0.663
        16        25        32     0.886     0.522     0.694
        16        25        33     0.896     0.514     0.685
        16        26        31     0.860     0.522     0.717
        16        26        32     0.870     0.514     0.707
        16        27        30     0.836     0.522     0.740
        16        27        31     0.845     0.514     0.730
        16        28        29     0.809     0.522     0.767
        16        28        30     0.820     0.514     0.754
        16        29        28     0.785     0.522     0.793
        16        29        29     0.797     0.514     0.779
        16        30        27     0.762     0.522     0.819
        16        30        28     0.774     0.514     0.805
        16        31        26     0.740     0.522     0.845
        16        31        27     0.751     0.514     0.831
        16        32        25     0.719     0.522     0.873
        16        32        26     0.730     0.514     0.858
        16        33        24     0.698     0.522     0.902
        16        33        25     0.708     0.514     0.886
        16        34        23     0.678     0.522     0.931
        16        34        24     0.688     0.514     0.915
        16        35        22     0.658     0.522     0.961
        16        35        23     0.668     0.514     0.945
        16        36        21     0.639     0.522     0.991
        16        36        22     0.649     0.514     0.976
        17        20        36     0.991     0.539     0.593
        17        21        35     0.967     0.539     0.610
        17        21        36     0.978     0.531     0.602
        17        22        34     0.940     0.539     0.630
        17        22        35     0.950     0.531     0.622
        17        23        33     0.912     0.539     0.651
        17        23        34     0.923     0.531     0.642
        17        24        32     0.886     0.539     0.672
        17        24        33     0.896     0.531     0.663
        17        25        31     0.860     0.539     0.694
        17        25        32     0.870     0.531     0.685
        17        26        30     0.836     0.539     0.717
        17        26        31     0.845     0.531     0.707
        17        27        29     0.809     0.539     0.743
        17        27        30     0.820     0.531     0.731
        17        28        28     0.785     0.539     0.768
        17        28        29     0.797     0.531     0.755
        17        29        27     0.762     0.539     0.793
        17        29        28     0.774     0.531     0.779
        17        30        26     0.740     0.539     0.819
        17        30        27     0.751     0.531     0.805
        17        31        25     0.719     0.539     0.845
        17        31        26     0.730     0.531     0.831
        17        32        24     0.698     0.539     0.873
        17        32        25     0.708     0.531     0.858
        17        33        23     0.678     0.539     0.902
        17        33        24     0.688     0.531     0.886
        17        34        22     0.658     0.539     0.931
        17        34        23     0.668     0.531     0.915
        17        35        21     0.639     0.539     0.961
        17        35        22     0.649     0.531     0.945
        17        36        20     0.621     0.539     0.991
        17        36        21     0.630     0.531     0.976
        18        19        36     0.991     0.557     0.575
        18        20        35     0.967     0.557     0.591
        18        20        36     0.978     0.548     0.583
        18        21        34     0.940     0.557     0.610
        18        21        35     0.950     0.548     0.602
        18        22        33     0.912     0.557     0.630
        18        22        34     0.923     0.548     0.622
        18        23        32     0.886     0.557     0.651
        18        23        33     0.896     0.548     0.642
        18        24        31     0.861     0.557     0.672
        18        24        32     0.870     0.548     0.663
        18        25        30     0.833     0.557     0.697
        18        25        31     0.845     0.548     0.685
