
JLAB fadc pedestal measurement on host adcecal2
----------------------------
Opening CRCSR Window (opened at [0xb6f63000,0xb7f63000])
Opening A32 Window (opened at [0xb6f53000,0xb6f63000])
Opening A32Blt Window (opened at [0xacf53000,0xb6f53000])
Opening A24 Window (opened at [0xabf53000,0xacf53000])
Opening A16 Window (opened at [0xabf43000,0xabf53000])
jlabgefMapTsi: Tempe Chip Userspace map successful
VME Bus Error IRQ Disabled
vmeBusCreateLockShm: vmeBus shared memory mutex initialized
Initialized FADC  0  Slot #  3 at address 0xac0d3000 (0x00180000) 
Initialized FADC  1  Slot #  4 at address 0xac153000 (0x00200000) 
Initialized FADC  2  Slot #  5 at address 0xac1d3000 (0x00280000) 
Initialized FADC  3  Slot #  6 at address 0xac253000 (0x00300000) 
Initialized FADC  4  Slot #  7 at address 0xac2d3000 (0x00380000) 
Initialized FADC  5  Slot #  8 at address 0xac353000 (0x00400000) 
Initialized FADC  6  Slot #  9 at address 0xac3d3000 (0x00480000) 
Initialized FADC  7  Slot # 10 at address 0xac453000 (0x00500000) 
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x580000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x600000
Initialized FADC  8  Slot # 13 at address 0xac5d3000 (0x00680000) 
Initialized FADC  9  Slot # 14 at address 0xac653000 (0x00700000) 
Initialized FADC 10  Slot # 15 at address 0xac6d3000 (0x00780000) 
Initialized FADC 11  Slot # 16 at address 0xac753000 (0x00800000) 
Initialized FADC 12  Slot # 17 at address 0xac7d3000 (0x00880000) 
Initialized FADC 13  Slot # 18 at address 0xac853000 (0x00900000) 
Initialized FADC 14  Slot # 19 at address 0xac8d3000 (0x00980000) 
Initialized FADC 15  Slot # 20 at address 0xac953000 (0x00a00000) 
faInit: Enabling FADC Internal Clock, and VXS Triggers (VXS Sync Reset)
faInit: 16 FADC(s) successfully initialized
fadc250Config: nfadc=16
fadc250InitGlobals reached

NOTE: use EXPID=>clasdev< from environment

ReadConfigFile: Using configuration file >/usr/clas12/release/1.3.2/parms/fadc250/adcecal2.cnf<

ReadConfigFile: crate = all  host = adcecal2 - activated

ReadConfigFile: crate = end  host = adcecal2 - disactivated


fadc250DownloadAll reached, nfadc=16
faMeasureChannelPedestal: slot 3, chan 0 => avg 116.482, rms  1.185, min 111, max 121
faMeasureChannelPedestal: slot 3, chan 1 => avg 108.496, rms  1.158, min 104, max 112
faMeasureChannelPedestal: slot 3, chan 2 => avg 95.635, rms  1.234, min 90, max 103
faMeasureChannelPedestal: slot 3, chan 3 => avg 122.407, rms  1.236, min 119, max 127
faMeasureChannelPedestal: slot 3, chan 4 => avg 85.131, rms  1.265, min 80, max 90
faMeasureChannelPedestal: slot 3, chan 5 => avg 142.911, rms  1.499, min 138, max 148
faMeasureChannelPedestal: slot 3, chan 6 => avg 160.858, rms  1.471, min 156, max 167
faMeasureChannelPedestal: slot 3, chan 7 => avg 102.861, rms  1.337, min 98, max 109
faMeasureChannelPedestal: slot 3, chan 8 => avg 130.238, rms  1.371, min 125, max 135
faMeasureChannelPedestal: slot 3, chan 9 => avg 121.868, rms  1.312, min 117, max 127
faMeasureChannelPedestal: slot 3, chan 10 => avg 150.638, rms  1.427, min 146, max 157
faMeasureChannelPedestal: slot 3, chan 11 => avg 155.834, rms  1.276, min 152, max 160
faMeasureChannelPedestal: slot 3, chan 12 => avg 141.367, rms  1.274, min 137, max 146
faMeasureChannelPedestal: slot 3, chan 13 => avg 120.074, rms  1.397, min 116, max 160
faMeasureChannelPedestal: slot 3, chan 14 => avg 153.709, rms  1.480, min 148, max 160
faMeasureChannelPedestal: slot 3, chan 15 => avg 109.976, rms  1.756, min 106, max 178
faMeasureChannelPedestal: slot 4, chan 0 => avg 74.514, rms  1.186, min 71, max 78
faMeasureChannelPedestal: slot 4, chan 1 => avg 81.090, rms  1.248, min 76, max 85
faMeasureChannelPedestal: slot 4, chan 2 => avg 80.723, rms  1.241, min 74, max 87
faMeasureChannelPedestal: slot 4, chan 3 => avg 76.726, rms  1.200, min 73, max 81
faMeasureChannelPedestal: slot 4, chan 4 => avg 138.736, rms  1.501, min 133, max 144
faMeasureChannelPedestal: slot 4, chan 5 => avg 86.911, rms  1.377, min 83, max 92
faMeasureChannelPedestal: slot 4, chan 6 => avg 133.207, rms  1.324, min 127, max 141
faMeasureChannelPedestal: slot 4, chan 7 => avg 83.031, rms  1.379, min 77, max 89
faMeasureChannelPedestal: slot 4, chan 8 => avg 83.666, rms  1.266, min 79, max 88
faMeasureChannelPedestal: slot 4, chan 9 => avg 118.967, rms  1.284, min 114, max 124
faMeasureChannelPedestal: slot 4, chan 10 => avg 98.561, rms  1.237, min 95, max 103
faMeasureChannelPedestal: slot 4, chan 11 => avg 67.929, rms  1.245, min 64, max 73
faMeasureChannelPedestal: slot 4, chan 12 => avg 73.960, rms  1.220, min 69, max 78
faMeasureChannelPedestal: slot 4, chan 13 => avg 92.128, rms  1.226, min 88, max 120
faMeasureChannelPedestal: slot 4, chan 14 => avg 111.538, rms  1.532, min 107, max 179
faMeasureChannelPedestal: slot 4, chan 15 => avg 100.034, rms  1.512, min 96, max 150
faMeasureChannelPedestal: slot 5, chan 0 => avg 71.458, rms  1.192, min 67, max 76
faMeasureChannelPedestal: slot 5, chan 1 => avg 79.771, rms  1.451, min 76, max 136
faMeasureChannelPedestal: slot 5, chan 2 => avg 120.610, rms  1.155, min 116, max 124
faMeasureChannelPedestal: slot 5, chan 3 => avg 60.575, rms  1.226, min 57, max 65
faMeasureChannelPedestal: slot 5, chan 4 => avg 68.709, rms  1.343, min 64, max 75
faMeasureChannelPedestal: slot 5, chan 5 => avg 97.894, rms  3.166, min 92, max 174
faMeasureChannelPedestal: slot 5, chan 6 => avg 95.418, rms  1.269, min 91, max 100
faMeasureChannelPedestal: slot 5, chan 7 => avg 91.565, rms  1.438, min 86, max 97
faMeasureChannelPedestal: slot 5, chan 8 => avg 130.317, rms  1.358, min 124, max 136
faMeasureChannelPedestal: slot 5, chan 9 => avg 79.098, rms  1.260, min 75, max 83
faMeasureChannelPedestal: slot 5, chan 10 => avg 112.955, rms  1.300, min 108, max 118
faMeasureChannelPedestal: slot 5, chan 11 => avg 113.803, rms  1.210, min 110, max 119
faMeasureChannelPedestal: slot 5, chan 12 => avg 95.547, rms  1.181, min 91, max 100
faMeasureChannelPedestal: slot 5, chan 13 => avg 79.336, rms  2.749, min 75, max 189
faMeasureChannelPedestal: slot 5, chan 14 => avg 98.634, rms  1.031, min 95, max 103
faMeasureChannelPedestal: slot 5, chan 15 => avg 123.608, rms  1.151, min 120, max 128
faMeasureChannelPedestal: slot 6, chan 0 => avg 105.619, rms  1.166, min 102, max 110
faMeasureChannelPedestal: slot 6, chan 1 => avg 82.962, rms  1.169, min 79, max 87
faMeasureChannelPedestal: slot 6, chan 2 => avg 99.243, rms  1.168, min 95, max 103
faMeasureChannelPedestal: slot 6, chan 3 => avg 43.124, rms  1.221, min 39, max 48
faMeasureChannelPedestal: slot 6, chan 4 => avg 83.296, rms  1.315, min 78, max 88
faMeasureChannelPedestal: slot 6, chan 5 => avg 119.486, rms  1.198, min 115, max 124
faMeasureChannelPedestal: slot 6, chan 6 => avg 106.971, rms  1.223, min 103, max 116
faMeasureChannelPedestal: slot 6, chan 7 => avg 116.953, rms  1.296, min 112, max 122
faMeasureChannelPedestal: slot 6, chan 8 => avg 117.159, rms  1.353, min 112, max 122
faMeasureChannelPedestal: slot 6, chan 9 => avg 133.237, rms  1.293, min 128, max 138
faMeasureChannelPedestal: slot 6, chan 10 => avg 103.758, rms  1.317, min 99, max 109
faMeasureChannelPedestal: slot 6, chan 11 => avg 93.867, rms  1.259, min 90, max 121
faMeasureChannelPedestal: slot 6, chan 12 => avg 98.319, rms  1.185, min 94, max 102
faMeasureChannelPedestal: slot 6, chan 13 => avg 138.378, rms  1.383, min 134, max 167
faMeasureChannelPedestal: slot 6, chan 14 => avg 147.480, rms  1.223, min 144, max 153
faMeasureChannelPedestal: slot 6, chan 15 => avg 82.613, rms  1.091, min 79, max 87
faMeasureChannelPedestal: slot 7, chan 0 => avg 134.251, rms  1.258, min 129, max 139
faMeasureChannelPedestal: slot 7, chan 1 => avg 144.088, rms  1.278, min 140, max 149
faMeasureChannelPedestal: slot 7, chan 2 => avg 120.201, rms  1.783, min 116, max 206
faMeasureChannelPedestal: slot 7, chan 3 => avg 72.905, rms  1.191, min 68, max 78
faMeasureChannelPedestal: slot 7, chan 4 => avg 112.336, rms  1.311, min 107, max 117
faMeasureChannelPedestal: slot 7, chan 5 => avg 106.756, rms  1.375, min 102, max 111
faMeasureChannelPedestal: slot 7, chan 6 => avg 134.529, rms  1.470, min 130, max 177
faMeasureChannelPedestal: slot 7, chan 7 => avg 130.046, rms  1.919, min 125, max 189
faMeasureChannelPedestal: slot 7, chan 8 => avg 132.093, rms  1.325, min 128, max 144
faMeasureChannelPedestal: slot 7, chan 9 => avg 137.211, rms  1.743, min 133, max 191
faMeasureChannelPedestal: slot 7, chan 10 => avg 152.268, rms  1.395, min 147, max 157
faMeasureChannelPedestal: slot 7, chan 11 => avg 113.819, rms  1.235, min 109, max 118
faMeasureChannelPedestal: slot 7, chan 12 => avg 154.448, rms  1.363, min 149, max 182
faMeasureChannelPedestal: slot 7, chan 13 => avg 120.399, rms  1.310, min 117, max 151
faMeasureChannelPedestal: slot 7, chan 14 => avg 103.911, rms  1.314, min 100, max 134
faMeasureChannelPedestal: slot 7, chan 15 => avg 139.542, rms  1.566, min 135, max 173
faMeasureChannelPedestal: slot 8, chan 0 => avg 147.773, rms  1.267, min 143, max 165
faMeasureChannelPedestal: slot 8, chan 1 => avg 116.147, rms  1.211, min 112, max 121
faMeasureChannelPedestal: slot 8, chan 2 => avg 114.689, rms  1.233, min 110, max 119
faMeasureChannelPedestal: slot 8, chan 3 => avg 118.838, rms  1.155, min 115, max 123
faMeasureChannelPedestal: slot 8, chan 4 => avg 147.099, rms  1.436, min 143, max 152
faMeasureChannelPedestal: slot 8, chan 5 => avg 129.861, rms  1.257, min 126, max 134
faMeasureChannelPedestal: slot 8, chan 6 => avg 138.530, rms  1.269, min 133, max 143
faMeasureChannelPedestal: slot 8, chan 7 => avg 112.480, rms  1.334, min 107, max 117
faMeasureChannelPedestal: slot 8, chan 8 => avg 111.430, rms  1.266, min 106, max 116
faMeasureChannelPedestal: slot 8, chan 9 => avg 112.555, rms  1.343, min 108, max 117
faMeasureChannelPedestal: slot 8, chan 10 => avg 123.016, rms  1.276, min 118, max 127
faMeasureChannelPedestal: slot 8, chan 11 => avg 150.738, rms  1.185, min 147, max 155
faMeasureChannelPedestal: slot 8, chan 12 => avg 119.554, rms  1.209, min 115, max 124
faMeasureChannelPedestal: slot 8, chan 13 => avg 138.167, rms  1.195, min 134, max 142
faMeasureChannelPedestal: slot 8, chan 14 => avg 137.152, rms  1.245, min 133, max 142
faMeasureChannelPedestal: slot 8, chan 15 => avg 85.723, rms  1.117, min 82, max 89
faMeasureChannelPedestal: slot 9, chan 0 => avg 95.938, rms  1.206, min 91, max 100
faMeasureChannelPedestal: slot 9, chan 1 => avg 94.637, rms  1.166, min 90, max 100
faMeasureChannelPedestal: slot 9, chan 2 => avg 110.331, rms  1.307, min 105, max 115
faMeasureChannelPedestal: slot 9, chan 3 => avg 85.856, rms  1.168, min 81, max 89
faMeasureChannelPedestal: slot 9, chan 4 => avg 87.811, rms  1.311, min 82, max 92
faMeasureChannelPedestal: slot 9, chan 5 => avg 95.681, rms  1.325, min 91, max 100
faMeasureChannelPedestal: slot 9, chan 6 => avg 112.338, rms  1.264, min 107, max 119
faMeasureChannelPedestal: slot 9, chan 7 => avg 112.039, rms  1.329, min 107, max 117
faMeasureChannelPedestal: slot 9, chan 8 => avg 95.426, rms  1.296, min 92, max 108
faMeasureChannelPedestal: slot 9, chan 9 => avg 108.127, rms  1.248, min 104, max 113
faMeasureChannelPedestal: slot 9, chan 10 => avg 101.638, rms  1.288, min 97, max 106
faMeasureChannelPedestal: slot 9, chan 11 => avg 72.481, rms  1.207, min 69, max 77
faMeasureChannelPedestal: slot 9, chan 12 => avg 92.324, rms  1.180, min 88, max 96
faMeasureChannelPedestal: slot 9, chan 13 => avg 81.970, rms  1.180, min 77, max 86
faMeasureChannelPedestal: slot 9, chan 14 => avg 136.191, rms  1.131, min 132, max 140
faMeasureChannelPedestal: slot 9, chan 15 => avg 121.408, rms  1.181, min 117, max 125
faMeasureChannelPedestal: slot 10, chan 0 => avg 61.550, rms  1.487, min 56, max 68
faMeasureChannelPedestal: slot 10, chan 1 => avg 77.535, rms  1.216, min 73, max 82
faMeasureChannelPedestal: slot 10, chan 2 => avg 108.232, rms  1.187, min 103, max 113
faMeasureChannelPedestal: slot 10, chan 3 => avg 100.394, rms  1.168, min 96, max 105
faMeasureChannelPedestal: slot 10, chan 4 => avg 89.281, rms  1.248, min 85, max 94
faMeasureChannelPedestal: slot 10, chan 5 => avg 100.658, rms  1.283, min 96, max 105
faMeasureChannelPedestal: slot 10, chan 6 => avg 78.692, rms  1.291, min 73, max 83
faMeasureChannelPedestal: slot 10, chan 7 => avg 88.275, rms  1.508, min 83, max 94
faMeasureChannelPedestal: slot 10, chan 8 => avg 92.442, rms  1.248, min 88, max 97
faMeasureChannelPedestal: slot 10, chan 9 => avg 98.934, rms  1.343, min 93, max 105
faMeasureChannelPedestal: slot 10, chan 10 => avg 100.215, rms  1.400, min 95, max 105
faMeasureChannelPedestal: slot 10, chan 11 => avg 93.471, rms  1.218, min 89, max 98
faMeasureChannelPedestal: slot 10, chan 12 => avg 98.389, rms  1.145, min 95, max 102
faMeasureChannelPedestal: slot 10, chan 13 => avg 105.759, rms  1.197, min 101, max 110
faMeasureChannelPedestal: slot 10, chan 14 => avg 93.205, rms  1.071, min 90, max 97
faMeasureChannelPedestal: slot 10, chan 15 => avg 71.939, rms  1.105, min 68, max 76
faMeasureChannelPedestal: slot 13, chan 0 => avg 107.365, rms  1.192, min 103, max 111
