
JLAB fadc pedestal measurement on host adcecal6
----------------------------
Opening CRCSR Window (opened at [0xb6eef000,0xb7eef000])
Opening A32 Window (opened at [0xb6edf000,0xb6eef000])
Opening A32Blt Window (opened at [0xacedf000,0xb6edf000])
Opening A24 Window (opened at [0xabedf000,0xacedf000])
Opening A16 Window (opened at [0xabecf000,0xabedf000])
jlabgefMapTsi: Tempe Chip Userspace map successful
VME Bus Error IRQ Disabled
vmeBusCreateLockShm: vmeBus shared memory mutex initialized
Initialized FADC  0  Slot #  3 at address 0xac05f000 (0x00180000) 
Initialized FADC  1  Slot #  4 at address 0xac0df000 (0x00200000) 
Initialized FADC  2  Slot #  5 at address 0xac15f000 (0x00280000) 
Initialized FADC  3  Slot #  6 at address 0xac1df000 (0x00300000) 
Initialized FADC  4  Slot #  7 at address 0xac25f000 (0x00380000) 
Initialized FADC  5  Slot #  8 at address 0xac2df000 (0x00400000) 
Initialized FADC  6  Slot #  9 at address 0xac35f000 (0x00480000) 
Initialized FADC  7  Slot # 10 at address 0xac3df000 (0x00500000) 
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x580000
jlabgefMemProbe: Clearing VME BERR/2eST (0x800cf900) at VME address 0x600000
Initialized FADC  8  Slot # 13 at address 0xac55f000 (0x00680000) 
Initialized FADC  9  Slot # 14 at address 0xac5df000 (0x00700000) 
Initialized FADC 10  Slot # 15 at address 0xac65f000 (0x00780000) 
Initialized FADC 11  Slot # 16 at address 0xac6df000 (0x00800000) 
Initialized FADC 12  Slot # 17 at address 0xac75f000 (0x00880000) 
Initialized FADC 13  Slot # 18 at address 0xac7df000 (0x00900000) 
Initialized FADC 14  Slot # 19 at address 0xac85f000 (0x00980000) 
Initialized FADC 15  Slot # 20 at address 0xac8df000 (0x00a00000) 
faInit: Enabling FADC Internal Clock, and VXS Triggers (VXS Sync Reset)
faInit: 16 FADC(s) successfully initialized
fadc250Config: nfadc=16
fadc250InitGlobals reached

NOTE: use EXPID=>clasdev< from environment

ReadConfigFile: Using configuration file >/usr/clas12/release/1.3.2/parms/fadc250/adcecal6.cnf<

ReadConfigFile: crate = all  host = adcecal6 - activated

ReadConfigFile: crate = end  host = adcecal6 - disactivated


fadc250DownloadAll reached, nfadc=16
faMeasureChannelPedestal: slot 3, chan 0 => avg 110.922, rms  1.237, min 106, max 115
faMeasureChannelPedestal: slot 3, chan 1 => avg 131.989, rms  1.265, min 127, max 137
faMeasureChannelPedestal: slot 3, chan 2 => avg 118.378, rms  1.232, min 114, max 123
faMeasureChannelPedestal: slot 3, chan 3 => avg 139.161, rms  1.294, min 134, max 144
faMeasureChannelPedestal: slot 3, chan 4 => avg 130.083, rms  1.382, min 125, max 135
faMeasureChannelPedestal: slot 3, chan 5 => avg 196.535, rms  1.296, min 192, max 201
faMeasureChannelPedestal: slot 3, chan 6 => avg 142.355, rms  1.287, min 137, max 148
faMeasureChannelPedestal: slot 3, chan 7 => avg 111.740, rms  1.318, min 107, max 116
faMeasureChannelPedestal: slot 3, chan 8 => avg 85.280, rms  1.333, min 80, max 90
faMeasureChannelPedestal: slot 3, chan 9 => avg 123.871, rms  1.274, min 120, max 128
faMeasureChannelPedestal: slot 3, chan 10 => avg 132.130, rms  1.304, min 127, max 137
faMeasureChannelPedestal: slot 3, chan 11 => avg 131.152, rms  1.201, min 127, max 135
faMeasureChannelPedestal: slot 3, chan 12 => avg 159.291, rms  1.189, min 155, max 164
faMeasureChannelPedestal: slot 3, chan 13 => avg 136.465, rms  1.198, min 132, max 141
faMeasureChannelPedestal: slot 3, chan 14 => avg 147.429, rms  1.259, min 143, max 152
faMeasureChannelPedestal: slot 3, chan 15 => avg 169.579, rms  1.252, min 165, max 174
faMeasureChannelPedestal: slot 4, chan 0 => avg 149.054, rms  1.199, min 145, max 154
faMeasureChannelPedestal: slot 4, chan 1 => avg 149.037, rms  1.348, min 144, max 153
faMeasureChannelPedestal: slot 4, chan 2 => avg 107.987, rms  1.213, min 103, max 113
faMeasureChannelPedestal: slot 4, chan 3 => avg 123.588, rms  1.185, min 119, max 128
faMeasureChannelPedestal: slot 4, chan 4 => avg 140.751, rms  1.434, min 136, max 146
faMeasureChannelPedestal: slot 4, chan 5 => avg 99.605, rms  1.221, min 95, max 104
faMeasureChannelPedestal: slot 4, chan 6 => avg 103.398, rms  1.272, min 99, max 124
faMeasureChannelPedestal: slot 4, chan 7 => avg 123.382, rms  1.344, min 118, max 129
faMeasureChannelPedestal: slot 4, chan 8 => avg 136.667, rms  1.342, min 132, max 141
faMeasureChannelPedestal: slot 4, chan 9 => avg 115.214, rms  1.160, min 111, max 119
